Character,Line
Leslie Knope,"Good morning, Ron."
Ron Swanson,Morning.
Ron Swanson,"I know how much you enjoy paperwork, but don't hover."
Leslie Knope,Nice bench.
Leslie Knope,Is that new?
Leslie Knope,"No, that's been there since the '90s."
Leslie Knope,What are you doing for your birthday on Friday?
Ron Swanson,Nothing.
Ron Swanson,I never Aha!
Ron Swanson,"Oh, God."
Leslie Knope,"Birthday, birthday, birthday It's your birthday It's your birthday, and I know when it is."
Leslie Knope,Ron refuses to tell anyone when his birthday is.
Leslie Knope,He's even had it redacted on all government documents.
Leslie Knope,"Three years of investigations, phone calls, Freedom of Information Act requests, and still, I had nothing, until a well placed bribe to a gentleman at Baskin-Robbins revealed Ron's birthday is on Friday."
Ron Swanson,Damn it.
Ron Swanson,I was so careful.
Leslie Knope,"Well, you blew it."
Leslie Knope,All for a free scoop of Rum Raisin.
Leslie Knope,"Was it worth it, Ron?"
Leslie Knope,Was it?
Ron Swanson,I command you to do nothing.
Leslie Knope,I'm not gonna do nothing.
Leslie Knope,I'm gonna do something.
Leslie Knope,And it's gonna be really big.
Leslie Knope,I have a lot of years to make up for.
Ron Swanson,"I don't like loud noises and people making a fuss, and I especially don't like people celebrating because they know a piece of private information about me."
Ron Swanson,"Plus, the whole thing is a scam."
Ron Swanson,Birthdays were invented by Hallmark to sell cards.
Tom Haverford,They put up a fence.
Leslie Knope,Who?
Leslie Knope,No!
Ben Wyatt,What's that?
Leslie Knope,"There's a small park on the line between Pawnee and Eagleton, and--"
Tom Haverford,Last night Eagleton put up a fence around their side to keep us disgusting Pawnee hobos off their precious land.
Tom Haverford,There's even a security guard.
Tom Haverford,You got to show Eagleton I.D. to get in.
Donna Meagle,Eagleton is a bunch of rich snobs.
Donna Meagle,And that's coming from someone who has a Mercedes.
Donna Meagle,With a Harman Kardon Logic surround sound system.
Ben Wyatt,Who builds a fence to keep kids out of a playground?
Leslie Knope,"Three words, Lindsay Carlisle Shay."
Andy Dwyer,Who?
Leslie Knope,Lindsay Carlisle Shay and I used to be best friends.
Leslie Knope,We worked together at the Pawnee Parks Department.
Leslie Knope,"Then she went to work in Eagleton and ""fixed her deviated septum"" and lost 35 pounds and lost something else."
Leslie Knope,What was it again?
Leslie Knope,"Oh, yeah."
Leslie Knope,Her soul.
Ben Wyatt,Is the Eagleton side really that much better than the Pawnee side?
Leslie Knope,"To be fair, yeah."
Leslie Knope,Our side is this scrappy piece of land where kids go to smash fluorescent light tubes.
Leslie Knope,But it has a lot of heart.
April Ludgate,That's what people always say when something sucks.
Leslie Knope,"We should stand up for our town, okay?"
Leslie Knope,"Pawneeans are just as good as Eagletonians, although on average, we are several inches shorter and 80 pounds heavier."
Tom Haverford,People in Eagleton are straight up mean to us.
Tom Haverford,I would never set foot over there.
Tom Haverford,"But it's the only place that I can get my Bumble and Bumble hair care products, so I'm there every eight days."
Leslie Knope,"Okay, well, I am on ""Operation No More Fence,"" so I'm putting you in charge of ""Operation Ron's Party, colon, Shock And Awe."""
April Ludgate,I am all over it.
Leslie Knope,I just need you to do what's on that list.
Ron Swanson,Leslie has a lot of qualities I find horrifying.
Ron Swanson,But the worst one by far is how thoughtful she can be.
Extra,It's the only park in our neighborhood.
Extra,"I mean, where are my kids supposed to play, the rock quarry?"
Extra,There's rocks in there.
Extra,Why don't we just set fire to the fence?
Extra,"You know, set it ablaze."
Leslie Knope,That's arson.
Extra,"Well, let's leave that up to the lawyers."
Extra,"The point is, it would work."
Extra,Why don't we build a fence around their fence?
Extra,Why?
Extra,"It would give us two fences, so if they needed to get to their fence for maintenance and whatnot, their pants might get caught."
Extra,"My son Joey tried to scale that fence to play on the Eagleton side, and he fell and hurt his arm."
Extra,You need to get those people to tear that fence down.
Leslie Knope,This woman's right.
Leslie Knope,"I promise you, citizens of Pawnee, and sweet, brave Joey, I will tear down that fence."
Extra,"Okay, I'm just gonna suggest one more time that we burn it down."
Extra,But whatever you guys think.
Leslie Knope,Yeah.
Leslie Knope,Great.
April Ludgate,"Yes, hi."
April Ludgate,I have a question about your inflatable saxophones.
April Ludgate,Do those come in different sizes?
April Ludgate,I'm gonna need about 40 dozen of those.
April Ludgate,"Also, what about your neon gangster fedora hats?"
April Ludgate,That was rude.
Ron Swanson,"Whatever's going on here, stop it immediately."
April Ludgate,I was just talking on the phone.
Ron Swanson,To whom?
April Ludgate,It was personal.
April Ludgate,I would never make a workrelated call.
April Ludgate,You know that.
Leslie Knope,Lindsay!
Lindsay Carlisle Shay,Leslie Knope.
Leslie Knope,Hi.
Lindsay Carlisle Shay,Hi.
Lindsay Carlisle Shay,Has it really been five years?
Leslie Knope,It has.
Leslie Knope,You look amazing.
Lindsay Carlisle Shay,Thank you.
Lindsay Carlisle Shay,This place hasn't changed a bit.
Lindsay Carlisle Shay,"Still loveable, but grimy."
Ben Wyatt,"Hello, there."
Ben Wyatt,I'm Ben Wyatt.
Ben Wyatt,I'm assistant city manager
Lindsay Carlisle Shay,"Hi, Dan."
Ben Wyatt,Ben.
