Character,Line
Jerry Gergich,"Okay, now, see, here's a good example of a plant that you can't eat."
Jerry Gergich,See all the spikes?
Jerry Gergich,"So, two things."
Jerry Gergich,"One, it's poisonous."
Jerry Gergich,"And two, it would hurt."
Leslie Knope,The Parks Department has so many programs.
Leslie Knope,Jerry's in charge of our preteen nature hikes.
Leslie Knope,"For a while, it was a teenage nature hike, but then we changed it because a girl got pregnant."
Jerry Gergich,"Look what we have here, country honeysuckle, Pawnee style."
Jerry Gergich,"Yeah, take a look at that."
Leslie Knope,Wow.
Jerry Gergich,It's pretty and it smells good.
Leslie Knope,Mmm.
Leslie Knope,Smells great.
Jerry Gergich,"Yeah, it's really nice."
Leslie Knope,Mmm.
Leslie Knope,That's bitter.
Jerry Gergich,"Leslie, you don't eat it."
Leslie Knope,Oh!
Leslie Knope,Why did you let me eat that?
Jerry Gergich,I never told you to eat that.
Leslie Knope,Oh!
Leslie Knope,God.
Jerry Gergich,"Leslie, the animals know you don't eat the country honeysuckle."
Leslie Knope,I'm not an animal.
Leslie Knope,My tongue is swelling up.
Jerry Gergich,"No, don't touch it!"
Jerry Gergich,"No, you can't-- Okay, now you'll have to throw that away."
Leslie Knope,Let's not scare the kids.
Jerry Gergich,Okay.
Leslie Knope,All right.
Leslie Knope,All right.
Jerry Gergich,"Well, there we go then."
Jerry Gergich,Let's see what else is here.
Leslie Knope,"So let's tell them what other plants we can eat, Jerry."
Leslie Knope,"But I have to say, there's a very sweet aftertaste though."
Leslie Knope,So I have a piece of good news.
Leslie Knope,I've invited a reporter to come do an article about the pit behind your house.
Leslie Knope,"She writes for the Pawnee Journal, which is kind of like our town's Washington Post."
Ann Perkins,That sounds really good.
Leslie Knope,"Thank you, Ann."
Leslie Knope,It is a classic strategy.
Leslie Knope,The press is a weapon and you can use it to kill people or to feed people.
Leslie Knope,"You know, the beginning of projects are very vulnerable, and you have to make sure that you get a lot of press, 'cause the momentum of that can kind of keep it alive, or else it'll die."
Leslie Knope,"I mean, I'm sure you remember the Tucker Park Graffiti Removal Project."
Leslie Knope,The Tucker Park Graffiti Removal Project was a great idea that just ran out of steam.
Leslie Knope,"We had removed five cartoon penises, not even 10%, when we were shut down due to lack of funding."
Leslie Knope,"To this day, I am haunted by those remaining penises."
Leslie Knope,One penis in particular.
Leslie Knope,"Now, when the reporter gets here, it is vital that we all follow my rules about how to deal with the media."
Leslie Knope,"Rule number one, stay on message."
Leslie Knope,This is key.
Leslie Knope,"All we need to talk about is the pit, and the fact that we're gonna turn it into a park."
Leslie Knope,And that's it.
Leslie Knope,Okay?
Leslie Knope,Number two: What?
Leslie Knope,Stay on message again?
Leslie Knope,"Yes, it's that important."
Leslie Knope,It's one and two.
Leslie Knope,Stay on message and stay on message.
Leslie Knope,Right?
Leslie Knope,"Stay on what, Ann?"
Ann Perkins,Message.
Leslie Knope,Great.
Ann Perkins,"Leslie formed a committee to fill the pit in a week, which is really impressive."
Ann Perkins,"I mean, until now, my only experience with government was trying to get a recycling bin."
Ann Perkins,Wait.
Ann Perkins,Did I ever get it?
Ann Perkins,"Bye, Leslie."
Leslie Knope,"Bye, Ann."
Leslie Knope,"Hey, Mark?"
Mark Brendanawicz,Yeah.
Leslie Knope,Buy you a cup of coffee?
Leslie Knope,"This is JJ's Diner, the unofficial meeting place of Pawnee's political elite."
Leslie Knope,The people who eat here basically run this town.
Leslie Knope,"So, listen, I was hoping maybe I could pick your brain about how to deal with the media."
Leslie Knope,It's my first interview.
Mark Brendanawicz,What about that thing you did for the middle school newspaper last year?
Leslie Knope,Oh.
Leslie Knope,No.
Leslie Knope,I don't count that.
Leslie Knope,That was a smear job.
Leslie Knope,So I put together some discussion topics.
Leslie Knope,Can I run them by you?
Mark Brendanawicz,Okay.
Leslie Knope,What do you think her opening gambit is gonna be?
Leslie Knope,What is she gonna ask me first?
Mark Brendanawicz,How you spell your name.
Leslie Knope,Of course.
Leslie Knope,"Because of the silent ""K."""
Leslie Knope,You're so smart.
Mark Brendanawicz,Yeah.
Leslie Knope,"Okay, now should I give her a tour of the building--"
Mark Brendanawicz,How many discussion questions do you have there?
Leslie Knope,Um Thirty.
Mark Brendanawicz,Wow!
Mark Brendanawicz,You're insane.
Leslie Knope,You're insane.
Leslie Knope,Mark and I made love once.
Leslie Knope,And it was very intense.
Shauna Malwae-Tweep,"Hi, I'm looking for Leslie Knope."
April Ludgate,Okay.
Leslie Knope,Oh!
Leslie Knope,My ears are ringing.
Leslie Knope,Hi.
Shauna Malwae-Tweep,Hi.
Leslie Knope,I'm Leslie Knope.
Shauna Malwae-Tweep,Hi.
Leslie Knope,I'm the deputy director of Parks and Recreation.
Shauna Malwae-Tweep,Shauna.
Leslie Knope,Malwae-Tweep.
Leslie Knope,"Yes, I am familiar with your work."
Leslie Knope,I've read everything you've ever written.
Leslie Knope,You did an amazing in-depth article on the raccoon problem here in Pawnee.
Leslie Knope,Who left the door open?
Leslie Knope,No!
Leslie Knope,No!
Leslie Knope,No!
Leslie Knope,And I agree with you.
Leslie Knope,They are nature's bandits.
Shauna Malwae-Tweep,Thanks.
Shauna Malwae-Tweep,I was happy with that line.
Leslie Knope,"So, can I give you a quick tour before we get started?"
Shauna Malwae-Tweep,I've been here before.
Shauna Malwae-Tweep,A few times.
Leslie Knope,Quick tour?
Shauna Malwae-Tweep,Okay.
Leslie Knope,So there are 10 murals here in this hallway.
Leslie Knope,"And this is called ""The trial of Chief Wamapo."""
Leslie Knope,It was painted in 1936 and this is Chief Wamapo and he was convicted of crimes against the soldiers.
Leslie Knope,I am always amazed at his quiet dignity right before he's killed by a cannonball.
Shauna Malwae-Tweep,I'm surprised no one's complained about this.
Leslie Knope,"Oh, tons of people have."
Leslie Knope,"Yeah, we get letters every day."
Leslie Knope,"This is Ron Swanson, our boss."
Leslie Knope,"Ron, this is the reporter I was telling you about."
Ron Swanson,No comment.
Shauna Malwae-Tweep,About what?
Ron Swanson,"Hey, Haverford, maybe one day you'll figure out how to spell a three letter word."
Tom Haverford,"Come on, Ron."
Tom Haverford,"I play a lot of online Scrabble with my boss, Ron Swanson, and, oh, my God, that guy is the best."
Tom Haverford,He beats me every time.
Tom Haverford,He kills me.
Tom Haverford,He's awesome.
Tom Haverford,I can't beat him.
Tom Haverford,I should just close my account.
