Character,Line
Ben Wyatt,"Hey, Leslie."
Leslie Knope,Hey.
Ben Wyatt,Thank you for that year over year maintenance cost analysis.
Ben Wyatt,That was really helpful.
Leslie Knope,You're so welcome.
Leslie Knope,I was thinking about you when I wrote it.
Leslie Knope,"Cause I was, um"
Ben Wyatt,'Cause I told you I wanted to read it?
Leslie Knope,Yeah.
Ben Wyatt,That's a good reason.
Ben Wyatt,"Anyway, Chris wants to see us in his office."
Leslie Knope,I guess we should head over there.
Ben Wyatt,All right.
Leslie Knope,All right.
Ben Wyatt,"All right, cool."
Leslie Knope,Great.
Ben Wyatt,See you there.
Leslie Knope,"I'll see you there, Benjamin."
Leslie Knope,Ben.
Ben Wyatt,"All right, ""Lesliemin."""
Ben Wyatt,Leslie.
Ann Perkins,"Hi, Ben."
Ben Wyatt,"Oh, hey, Ann."
Ann Perkins,Wow!
Ann Perkins,That was the most sexual tension I have ever seen in a conversation about documents.
Leslie Knope,It can't happen.
Leslie Knope,We could both get fired.
Ann Perkins,That's a dumb rule.
Leslie Knope,I know!
Ann Perkins,"Well, if you have to follow it, I would just suggest avoiding one-on-one, tensiony situations with him."
Leslie Knope,You're right.
Leslie Knope,Good plan.
Chris Traeger,I am sending you two on a trip.
Ben Wyatt,Really?
Leslie Knope,Really?
Chris Traeger,"The Indiana Little League Baseball Tournament is upon us, and Pawnee hasn't hosted it in 20 years."
Chris Traeger,"So, I would like you two to go to Indianapolis and state our case, because you two are my dynamic duo."
Chris Traeger,Right here.
Chris Traeger,Ah Ah And go team!
Ben Wyatt,Yep.
Leslie Knope,"Ann, everything you have is too sexy."
Leslie Knope,This is actually the dress that Julia Roberts wore as a prostitute in Pretty Woman.
Ann Perkins,I know.
Ann Perkins,I look really good in it.
Leslie Knope,"I need, like, a sweat suit or something."
Leslie Knope,I need to send out a signal that nothing is gonna happen.
Ann Perkins,"Oh, this is insane."
Ann Perkins,It's so obvious you're dying to be together.
Ann Perkins,And now you're going on a road trip?
Ann Perkins,"I mean, you guys could literally ""get a room."""
Leslie Knope,"Yeah, and I could literally get ""afired."""
Ann Perkins,"All right, I will help you antiseduce him."
Ann Perkins,Just tell me what else you need.
Leslie Knope,"I need to think of unsexy, boring conversation topics we can talk about in the car."
Leslie Knope,I have a few ideas.
Leslie Knope,"We could discuss The New Yorker article ""The History of the Ladder."""
Ann Perkins,Okay.
Leslie Knope,"We could talk about different dorms at Johns Hopkins University, and I could read from my Sonicare booklet."
Ann Perkins,"Oh, I have a good idea!"
Leslie Knope,What?
Ann Perkins,Why don't you ask him about his penis?
April Ludgate,"Pawnee Zoo, monkey speaking."
Tom Haverford,Okay!
Tom Haverford,Everyone stop what you're doing and come with me.
Tom Haverford,All four of you.
Ron Swanson,Where are you going?
Tom Haverford,Leslie's not here today.
Tom Haverford,No boss.
Tom Haverford,We can do whatever we want.
Ron Swanson,I'm your boss.
Tom Haverford,"That's a good one, Ron."
Tom Haverford,Let's go.
Tom Haverford,Seriously.
Tom Haverford,Come on.
Tom Haverford,Here's the sitch.
Tom Haverford,"I developed a dope new game show where I ask couples scandalous questions, and they have to guess what the other one answered."
Tom Haverford,I call this Know Ya Boo.
Jerry Gergich,"Oh, that sounds like The Newlywed Game."
Tom Haverford,"Shut up, Jerry!"
Tom Haverford,"It's not The Newlywed Game, okay?"
Tom Haverford,It is totally The Newlywed Game.
Tom Haverford,But big deal.
Tom Haverford,Everyone steals.
Tom Haverford,"My favorite movie is Love Don't Cost a Thing, with Nick Cannon, which is based on Can't Buy Me Love, which is based on Kramer vs. Kramer or something, which I think was Shakespeare."
Tom Haverford,"Don't know, don't care."
April Ludgate,And what exactly do you plan on doing with this game show idea?
April Ludgate,Are you going to shove it up your butt?
Tom Haverford,No.
Tom Haverford,"I'm gonna test it out on you four bingbongs and work out the kinks, then hire actual attractive people, and make a demo."
Donna Meagle,What network is gonna buy a game show from you?
Tom Haverford,"There's a million networks out there, and they all need programming."
Tom Haverford,"Spike, G4, GSN, Fuse, WOW, Boom, Zip, Kablam, Slurp, Slurp Latin, Slurp HD."
Andy Dwyer,I love Slurp HD.
Andy Dwyer,Have you guys seen Ultimate Battle Smoothie?
Tom Haverford,That's a dope show.
Andy Dwyer,"Oh, my God."
Leslie Knope,"Yeah, so, basically every dorm allows bed lofting, but the students have really taken to it at Wolman and McCoy."
Ben Wyatt,Did you go to Johns Hopkins?
Leslie Knope,No.
Ben Wyatt,Do you wanna play some music?
Leslie Knope,Sure!
Leslie Knope,Ann and I burned an awesome CD for the trip.
Ann Perkins,"Jimmy Carter's ""Crisis of Confidence"" speech, Learning to Speak Mandarin, 16 minutes of Old Timey Car Horn, and something called Banjo Boogie Bonanza."
Leslie Knope,"It's an amazing instrument, the banjo."
Ben Wyatt,Yeah.
Ben Wyatt,I didn't realize it could be this loud.
Lauren,Hello?
Lauren,Hello?
Ron Swanson,Can I help you?
Lauren,Hi.
Lauren,"My class is here on a field trip, and I'm supposed to interview someone for a school project."
Ron Swanson,Okay.
Ron Swanson,"You can wait at that table, and someone will be here sometime."
Lauren,But aren't you here now?
Ron Swanson,No.
Tom Haverford,"It's time to know your I don't have the instrumental backing track yet, but it's gonna say ""boo"" right there."
Tom Haverford,"Hey, everybody!"
Tom Haverford,Welcome to Know Ya Boo.
Tom Haverford,"I'm your host, Tom Haverford, and with me as always is my CGI puppy cohost, Bobby the Boo!"
Tom Haverford,"Hey, everybody!"
Tom Haverford,"All right, let's get to it."
Tom Haverford,First question.
Tom Haverford,"Fellas, which rock star would your lady bang if she could bang one rock star?"
Tom Haverford,Jerry!
Jerry Gergich,"I believe I have heard Donna talk about Prince, a lot."
Tom Haverford,What'd your boo say?
Tom Haverford,Impressive!
Tom Haverford,"All right, Andy, which rock star would your lady get with?"
Andy Dwyer,"Um, this is almost too easy."
Andy Dwyer,Me!
Tom Haverford,Let's check in with your boo!
Andy Dwyer,Yay!
Tom Haverford,Oh!
Tom Haverford,Sorry.
Andy Dwyer,Who is Jeff Mangum?
April Ludgate,The guy from Neutral Milk Hotel.
Andy Dwyer,Oh!
Andy Dwyer,Oh.
Andy Dwyer,Neutral Milk Hotel.
Andy Dwyer,What is that?
April Ludgate,That's my favorite band.
April Ludgate,"I've told you that, like, a thousand times."
Andy Dwyer,I don't remember.
Andy Dwyer,Why wouldn't you pick me?
April Ludgate,I don't know.
April Ludgate,You're not technically a rock star.
Tom Haverford,Booyah!
Tom Haverford,Somebody don't know their boo!
Tom Haverford,That's the sound bite that's gonna play when a fight breaks out.
Ron Swanson,"Look, little girl, can we postpone this for another day?"
Ron Swanson,It's unsettling having you just sit there.
Lauren,But my report's due tomorrow.
Ron Swanson,What's it on?
Lauren,Why government matters.
Ron Swanson,Really?
Ron Swanson,"It's never too early to learn that the government is a greedy piglet that suckles on a taxpayer's teat until they have sore, chapped nipples."
Ron Swanson,I'm gonna need a different metaphor to give this nine year old.
Ron Swanson,"What's your name, ma'am?"
Lauren,Lauren Burkiss.
Ron Swanson,"Lauren, my name is Ron Swanson, and I'm gonna tell you everything you need to know about the miserable, screwedup world of local government."
Lauren,You have mustard in your mustache.
Ron Swanson,"Don't sass me, Burkiss."
Ron Swanson,Let's get started.
Ron Swanson,"""Life, liberty, and property."""
Ron Swanson,That's John Locke.
Ben Wyatt,What is this?
Leslie Knope,Whale sounds.
Ben Wyatt,Okay.
Leslie Knope,You can change it if you want.
Ben Wyatt,Yeah?
Leslie Knope,What the hell?
Ben Wyatt,"Oh, no, no, no."
Ben Wyatt,This is such a great song.
Ann Perkins,"Yeah, I snuck an Al Green song in there."
Ann Perkins,I want them to get together.
Ann Perkins,Sue me.
Leslie Knope,Did you see this?
Leslie Knope,"According to their rules, we may not have enough hotel rooms within city limits."
Ben Wyatt,I know.
Ben Wyatt,It's a silly rule.
Ben Wyatt,But maybe they'll be reasonable and not care.
Leslie Knope,"Yeah, maybe we could just point out to them there are tons of hotel rooms just outside city limits."
Ben Wyatt,Uhhuh.
Leslie Knope,Have you been to the Granville Hotel and Spa?
Ben Wyatt,Uhuh.
Leslie Knope,They have the softest towels.
Ben Wyatt,"Oh, I gotta tell you."
Ben Wyatt,I love a nice towel in my life.
Leslie Knope,Me too.
Leslie Knope,I know.
Ben Wyatt,"I mean, it's the simplest luxury, but it makes all the difference."
Leslie Knope,Their bath mats are amazing.
Leslie Knope,It's like stepping on a lamb.
Ben Wyatt,"Oh, hold on."
Ben Wyatt,"Hey, come here."
Ben Wyatt,You've got an eyelash on your face.
Ben Wyatt,I got it.
