Character,Line
Leslie Knope,"Well, the honeymoon was amazing."
Leslie Knope,We saw the bus stop where a young Barack Obama used to sit and wait for the bus.
Leslie Knope,Theoretically.
Ben Wyatt,It's possible.
Leslie Knope,Then we went and visited Honolulu City Hall.
April Ludgate,Shut up.
Leslie Knope,You know.
April Ludgate,"Oh, my God, what was it like?"
Leslie Knope,It was amazing.
Leslie Knope,"Well, it looked amazing, but it was closed."
April Ludgate,"Oh, my God, bummer."
Leslie Knope,"Okay, I have presents!"
Leslie Knope,"Um Chris, we got you an Acai tree because the Acai berry is a superfood."
Chris Traeger,And a super gift.
Leslie Knope,"Donna, we got you some coffee, because you said, and I quote, ""I like my coffee like I like my men."
Leslie Knope,"Dark, rich, and full bodied."""
Donna Meagle,"Yes, indeed."
Leslie Knope,"Ann, we got you some very rare Hawaiian fertility tea, guaranteed to help you have a baby."
Ann Perkins,That's so nice.
Ann Perkins,Where'd you find that?
Leslie Knope,"Well, the busboy at our restaurant told us about a guy who we met in a parking lot, and then he had a backpack full of this stuff, and I'm just realizing now that it's not tea."
Leslie Knope,And I'm gonna throw it away.
Ben Wyatt,"Ron, this is the Hawaiian god of anger."
Ben Wyatt,It reminded us of you when you're at work.
Ron Swanson,A handsome gentleman.
Leslie Knope,We did not forget Jerry.
Ben Wyatt,"Right, right."
Leslie Knope,"We got Jerry some earbuds, and a bag of peanuts, and the Skymall catalog."
Jerry Gergich,Same thing you got me from your trip to Washington!
Ben Wyatt,"Tom, we got you an autographed portrait of your personal hero."
Tom Haverford,No way!
Tom Haverford,Scott Caan from Hawaii five0!
Ben Wyatt,"April, as requested, we threw that box you gave us into that volcano."
April Ludgate,Thank you.
Ben Wyatt,"Andy, as you requested, got you a three pack of white Tshirts from Target."
Andy Dwyer,Thank you.
Andy Dwyer,All mine are dirty.
Andy Dwyer,"Thank you, Hawaii."
Leslie Knope,Thank you so much.
Leslie Knope,It's great to be here at the Pawnee Correspondents' Lunch.
Leslie Knope,"There's so many wonderful, talented journalists here."
Leslie Knope,Also here are some reporters from the Pawnee Sun.
Leslie Knope,"Oh, hey, hey."
Leslie Knope,I love the Pawnee Sun.
Leslie Knope,Some people say that it's a useless tabloid.
Leslie Knope,But I don't think it's useless.
Leslie Knope,I think it's great for housebreaking puppies.
Leslie Knope,I am prepping for the Pawnee Correspondents' Lunch.
Leslie Knope,It's an annual affair where the media and the government roast each other.
Leslie Knope,My number one target the Pawnee Sun.
Leslie Knope,they rake me over the coals.
Leslie Knope,"Today, I take those burning coals, I shove them back down their throats, and I watch their melting flesh drip off their worthless faces!"
Leslie Knope,It's all in good fun.
Leslie Knope,"Okay, I need more jokes, people."
Leslie Knope,"Ben is having his first day at work, so he cannot help me."
Leslie Knope,So I need you guys to pick up the slack.
Ron Swanson,I have a joke for you.
Leslie Knope,Okay.
Ron Swanson,The government in this town is excellent and uses your tax dollars efficiently.
Leslie Knope,"That's not really a joke, Ron."
Ron Swanson,I disagree.
Ron Swanson,I find it hilarious.
Chris Traeger,Ann Perkins!
Ann Perkins,"Hey, Chris!"
Ann Perkins,Got to run to a meeting.
Ann Perkins,With Ron.
Chris Traeger,Great idea!
Chris Traeger,I'll run to my next meeting.
Ann Perkins,"Sorry, the door was open."
Ron Swanson,I wish this office had only walls.
Ann Perkins,"Chris broke up with his girlfriend a week ago, and I have decided to ask him to be the father of my baby."
Ann Perkins,Except I cannot work up the nerve to do it.
Ann Perkins,Turns out they don't make greeting cards for asking your exboyfriend if he will artificially inseminate you.
Ann Perkins,"Actually, Ron, I could use your advice on how to be blunt and honest."
Ann Perkins,"I want my friend to do something for me, and I don't know how to ask him."
Ron Swanson,What do you want him to do?
Ann Perkins,Plant ficuses.
Ann Perkins,In my front yard.
Ann Perkins,Grossest metaphor ever.
Ron Swanson,I've seen your house.
