Character,Line
Jennifer Barkley,We need to go over the schedule leading up to the primary.
Jennifer Barkley,Let's talk shop.
Leslie Knope,"Ooh, shop talk."
Leslie Knope,"One of my five favorite types of talk, along with pillow, girl, real, and TED."
Ben Wyatt,Why are you wearing a poncho?
Jennifer Barkley,"Oh, because every surface area in your house is sticky."
Jennifer Barkley,"Last time I was here, I found a melted crayon on my blazer."
Ben Wyatt,Okay.
Ben Wyatt,I have a photo op with Gryzzl tomorrow.
Ben Wyatt,Between now and then we have a ton of stuff scheduled.
Ben Wyatt,Looks like we're gonna have to skip the pie baking event and the ceremonial squash toss.
Leslie Knope,"Oh, really?"
Leslie Knope,We have to skip that?
Leslie Knope,I love watching those squashes fly through the air.
Ben Wyatt,I kind of like the way they land.
Leslie Knope,"Me, too."
Jennifer Barkley,"Okay, excuse me, but I have to get back to a city, where things happen."
Jennifer Barkley,Okay.
Jennifer Barkley,This campaign is about to start in earnest.
Jennifer Barkley,Things are about to get real intense.
Jennifer Barkley,"Leslie, you ready?"
Leslie Knope,"Me, Leslie?"
Jennifer Barkley,Yeah.
Leslie Knope,"Well, I was an actual candidate, so I think I can handle being a candidate's wife."
Leslie Knope,I know all the issues inside and out.
Jennifer Barkley,"Mmm, see, that's the problem."
Jennifer Barkley,Being the wife of is a minefield.
Jennifer Barkley,"If you were just a dingdong, I would just slap a flag pin on you, and pour some Valium down your throat, and just shove you behind the podium way upstage."
Jennifer Barkley,It's the smarties that freak people out.
Leslie Knope,I think you're underestimating the voters.
Jennifer Barkley,I don't think that is possible.
Leslie Knope,"Stephen, be careful."
Jennifer Barkley,Poncho!
April Ludgate,"I know you normally hate foundations, but this one I think you'll actually like."
April Ludgate,We take people that don't know what they wanna do and then put them to work doing cool stuff all over the world.
April Ludgate,And I start in a couple months.
Ron Swanson,"Well, I had hoped you'd choose a more dignified trade like masonry or logging."
Ron Swanson,"But you are out of local government, and that's a step in the right direction."
April Ludgate,It's definitely the job I wanted.
April Ludgate,But it means that we have to move to Washington.
Ron Swanson,Well.
Ron Swanson,Then bully for you.
Ron Swanson,"If you intend to move, I suppose you should return the spare key to my house."
Ron Swanson,"The one I gave you years ago when you were my assistant, for emergencies."
April Ludgate,Okay.
Ron Swanson,Good talk.
Ben Wyatt,This neighborhood has been mostly abandoned for years.
Ben Wyatt,"But now, thanks to the new Gryzzl headquarters, this district will soon transform into a hub of innovation for decades to come."
Reporter,Mister Wyatt.
Reporter,Your campaign released a schedule.
Reporter,And it looks like your wife is skipping the Pie Mary.
Reporter,Care to explain?
Leslie Knope,"The Pie Mary is a Southern Indiana tradition, where Congressional candidates' wives face off in a pie baking contest."
Leslie Knope,The last contest's winner was June Hartwell's buttermilk meringue.
Leslie Knope,Last contest's loser was all women.
Reporter,Leslie would be the first candidate's wife not to enter the Pie Mary.
Reporter,What kind of a statement are you making by skipping it?
Leslie Knope,We're-- I'm not making any kind of statement.
Leslie Knope,"We're just focusing on bigger issues, like Ben's 150 million dollar revitalization project."
Mike Patterson,Pardon me.
Mike Patterson,I need to get through.
Mike Patterson,Pardon me.
Mike Patterson,Excuse me.
Mike Patterson,Mike Patterson here.
Mike Patterson,"Leslie, you made it pretty clear that you don't think homemaking is important."
Mike Patterson,Do you ever cook for your children?
Mike Patterson,And who's even watching your children right now while you're out God only knows where?
Leslie Knope,What are you talking about?
Leslie Knope,I'm standing right here in front of you.
Mike Patterson,"Okay, take it easy."
Mike Patterson,Let's not get emotional.
Ben Wyatt,"Okay, we have to run."
Ben Wyatt,We'll see you all at my economic address.
Ben Wyatt,"Thanks for coming, everybody."
Mike Patterson,"What other traditions are you against, Leslie?"
Mike Patterson,Baseball?
Mike Patterson,Hugging your children?
Mike Patterson,How much did that haircut cost?
Leslie Knope,None of your business.
Leslie Knope,And thank you for noticing.
Andy Dwyer,My desk was right here.
Andy Dwyer,Sitting right on top of it this whole time.
Andy Dwyer,How much money is it?
April Ludgate,It's not money.
April Ludgate,I told you.
April Ludgate,It's Ron's key.
April Ludgate,I hid it in here years ago.
April Ludgate,Hey!
Andy Dwyer,Yeah.
Andy Dwyer,No.
Andy Dwyer,No key.
Andy Dwyer,Just a note and a movie ticket stub and four teeth.
April Ludgate,"""If you are looking for Ron's key, I moved it, and you'll never find it."""
April Ludgate,"""Cordially, April."""
Andy Dwyer,Where'd you put it then?
April Ludgate,I don't know.
April Ludgate,It was eight years ago.
April Ludgate,"Oh, God."
April Ludgate,A key to Ron's house is lost in a government building.
April Ludgate,It's his worst nightmare.
Andy Dwyer,"Listen, babe."
Andy Dwyer,All we gotta do is train Champion to sniff out Ron's key.
April Ludgate,Okay.
Andy Dwyer,All we need is Ron's key to give him a scent.
Andy Dwyer,So give me the key and I'll get you that key.
Mike Patterson,Welcome back to the program.
Mike Patterson,"My guest is June Hartwell, wife of incumbent Congressman Paul Hartwell."
Mike Patterson,"Now, June, we all know what Ben Wyatt's wife is really saying."
Mike Patterson,"By skipping the Pie Mary, she's saying, ""Women who love their families are stupid."""
June Hartwell,"Mike, we all make certain choices."
June Hartwell,Ms. Knope chose to try to have it all.
June Hartwell,I chose to put my family first.
Mike Patterson,"Oh, I'm just speculating here, but do you think that Leslie Knope's actions indicate that she actually hates her family?"
Leslie Knope,"Well, it only took three hours for Jen to be right."
Leslie Knope,I'm officially a distraction.
Leslie Knope,I'm gonna enter that Pie Mary.
Ben Wyatt,"This is just nonsense, it'll blow over."
Ben Wyatt,And the Pie Mary is ridiculous and antiquated.
Leslie Knope,"But the more they talk about this, the less they're gonna talk about your economic plan."
Leslie Knope,"Besides, I'm good at making pies, so I'll win and then I can promote my self-published women's rights barbecue cookbook The Feminine Mesquite."
Leslie Knope,Everything's fine.
April Ludgate,"I had it in a safe place, and then I moved it to protect it, and I don't remember where."
Ron Swanson,I see.
Andy Dwyer,"Don't be mad, Ron."
Andy Dwyer,"She hid it too good, and she left a string of clues."
Ron Swanson,It's an impossible puzzle.
Ron Swanson,And I love puzzles.
Ron Swanson,"A minimal, unhelpful note, these appear to be human teeth."
Ron Swanson,And what is this?
Ron Swanson,Twilight: New Moon?
April Ludgate,"It's a movie, but I've never seen it."
April Ludgate,"It's, like, about lame werewolves and vampires and stuff."
Ron Swanson,Donna likes those things.
Ron Swanson,Dollars to donuts this points us her way.
Ron Swanson,"Finally, a scavenger hunt worthy of my time."
