Character,Line
April Ludgate,Andy and Lesile sent us care packages.
Ben Wyatt,"""Hey Ben, just a few things to remind you of home."""
Ben Wyatt,"""Love, Leslie."""
Ben Wyatt,"Ah, Waffle Mix."
Ben Wyatt,JJ's diner mug.
Ben Wyatt,New pajamas.
Ben Wyatt,"Wow, there's a lot of stuff in here."
Ben Wyatt,"""Box 1 of 12""?"
April Ludgate,"""April, here's something to help you remember our three legged dog champion."""
Ben Wyatt,"Ah, that's cute."
April Ludgate,"""Also, you are way better at laundry."""
April Ludgate,"""Can you please do mine and send it back to me?"""
April Ludgate,Thanks.
April Ludgate,Love you.
April Ludgate,Mouse Rat rules.
April Ludgate,"Love, Andy."""
Ben Wyatt,Less cute.
April Ludgate,"""P.S. Please hurry."""
April Ludgate,"""I've been wearing a bandana as underwear for three days now."""
April Ludgate,"Look, there's a picture."
Ben Wyatt,Ah!
Ben Wyatt,That's horrifying.
April Ludgate,I love him so much.
Leslie Knope,"Okay, so do you have the results of the study?"
Ann Perkins,"Yes, and they're great."
Ann Perkins,Your tax on soda would definitely lower diabetes in this town.
Ann Perkins,"Oh, and I have a great prop for the meeting."
Ann Perkins,"This is the amount of sugar that the average Pawnee from soda, every month."
Leslie Knope,That is gross.
Ann Perkins,It's gross.
Leslie Knope,All that sugar?
Ann Perkins,It's really gross.
Leslie Knope,What a powerful image.
Ann Perkins,What are you doing?
Leslie Knope,What did you put in the sugar?
Leslie Knope,It's so good.
Leslie Knope,My first act as a city councilwoman I've proposed a tax on all those giant sugary sodas so we can discourage people from drinking them.
Leslie Knope,"I believe, with my help, all local restaurants can get healthier Paunch Burger, Big and Wide, The Fat Sack, Coronel Plum's Slop Trough which was formerly Sue's Salads until we ran that out of town."
Ron Swanson,"Ah, councilwoman."
Ron Swanson,"In honor of your neverending quest to personally babysit each and every American citizen, I went to Paunch Burger and got myself a Number two Double Bacon Grenade Deluxe, hash browns, chili cheese fries, and one poached egg."
Ann Perkins,Ugh!
Ann Perkins,Number two is right.
Ron Swanson,I also picked up a 64ounce Sweetums Sugar Splash.
Ron Swanson,"Damn it, I love this country so much."
Leslie Knope,"Ron, I'm really glad that you're here."
Leslie Knope,"Our political differences aside, I am about to go to my first committee meeting as a city councilwoman."
Leslie Knope,There's something I need to say to you.
