Character,Line
Chris Traeger,"Pawnee is, as you all know, the fourth most obese city in America."
Tom Haverford,Soon to be number three.
Tom Haverford,"We're coming for you, San Antonio."
Chris Traeger,"No, we are not."
Chris Traeger,We are slimming down.
Chris Traeger,Starting right here at City Hall.
Chris Traeger,I am implementing a government-wide health initiative.
Leslie Knope,We could have a City Hall dodgeball league!
Leslie Knope,"I have first pick, and my pick is Ron."
Chris Traeger,Great idea!
Chris Traeger,Keep 'em coming.
Chris Traeger,"Now, if anybody would like to join me, I will be running backwards up the big hill behind the Walmart."
Tom Haverford,"Don't freak out, but Joe from Sewage just unhooked your bra with his eyes."
Leslie Knope,What?
Leslie Knope,"Oh, boy."
Leslie Knope,"Hi, Joe."
Joe From Sewage,"What's up, Knope?"
Joe From Sewage,Looking good these days.
Joe From Sewage,What do you say?
Joe From Sewage,Van's out back.
Joe From Sewage,Let's roll.
Leslie Knope,Where is this coming from?
Joe From Sewage,I don't know.
Joe From Sewage,You're putting out some vibe today.
Joe From Sewage,It's just driving me crazy.
Joe From Sewage,"Listen, if you're looking for a good time, why don't you come on down to the Toilet Party?"
Joe From Sewage,That's what we call the Sewage Department.
Leslie Knope,Great.
Leslie Knope,Okay.
Joe From Sewage,Liking the view.
Joe From Sewage,"Still got it, Joe."
Leslie Knope,"No, you don't."
Ron Swanson,Christopher.
Ron Swanson,Got a second?
Chris Traeger,"Oh, hey, Ron."
Ron Swanson,Listen.
Ron Swanson,I've eaten a commissary hamburger for lunch every day for 12 years.
Ron Swanson,I just wanted to make sure this pointless health crusade won't affect the only part of my job that I like.
Chris Traeger,"Oh, no, those hamburgers are gone."
Chris Traeger,"Red meat can cause sluggishness, heart disease, even impotence."
Ron Swanson,Has the opposite effect on me.
Chris Traeger,You ever tried a turkey burger?
Ron Swanson,Is that a fried turkey leg inside a grilled hamburger?
Ron Swanson,"If so, yes."
Ron Swanson,Delicious.
Chris Traeger,A turkey burger.
Chris Traeger,"You take lean, ground turkey meat, you make that into a burger instead of red meat."
Ron Swanson,Why would anyone do that to themselves?
Chris Traeger,What if I told you that I could make a turkey burger that tastes better than any other burger you've ever had?
Ron Swanson,Challenge accepted.
Ron Swanson,Cookoff later today in the courtyard.
Ron Swanson,"If I win, hamburgers remain in the commissary."
Chris Traeger,What do I get if I win?
Ron Swanson,The rarest jewel of all.
Ron Swanson,"Victory over me, Ron Swanson."
Chris Traeger,I like that.
Chris Traeger,We're on.
Ben Wyatt,"You know, I can't believe I'm saying this, but I actually checked out that snow globe museum that you recommended, and it was pretty awesome."
Leslie Knope,Yeah.
Ben Wyatt,I have to say.
Ben Wyatt,"I mean, I did get in trouble for shaking one"
