Character,Line
Leslie Knope,"Hey, I've gained a lot of ground in the polls."
Leslie Knope,That's good news.
Ben Wyatt,"Yeah, I have you down only four points, but they're running a ton of new negative ads."
Ben Wyatt,Maybe you should fight back.
Leslie Knope,"Ben, your heart's in the right place."
Leslie Knope,Your heart and your butt.
Leslie Knope,I will not go negative.
Leslie Knope,Crap on a turd!
Extra,"Care for a ""Recall Knope"" gift bag?"
Leslie Knope,The committee to recall Leslie Knope is relentless.
Leslie Knope,Look what they're handing out at elementary schools.
Extra,I'm Leslie Knope.
Extra,Tell your parents to recall me.
Leslie Knope,"We all know that I cannot spend as much money on ads as my opponent, but I printed out 10,000 ""Don't"" stickers and 10,000 question mark stickers."
Leslie Knope,"That way, if you see a sign and it says ""Recall Knope,"" all you need to do is add the question mark and the ""Don't,"" and suddenly, it reads, ""Recall Knope? Don't."""
Donna Meagle,"Why don't you just put the ""Don't"" in front of ""Recall Knope""?"
Leslie Knope,"Yep, that's a much better idea."
April Ludgate,Can I have these question mark stickers?
Leslie Knope,Why?
April Ludgate,I want to put them on stop signs.
Leslie Knope,"April, no!"
Nadia Stasky,Hi.
Nadia Stasky,"Um, I need to talk to somebody about reserving a park."
April Ludgate,"Oh, we have a new policy."
April Ludgate,Parks can only be reserved for witch covens or slip-and-slide competitions.
April Ludgate,Which one are you?
Nadia Stasky,"Uh, slip-and-slide competition."
April Ludgate,Seriously?
Nadia Stasky,No.
Nadia Stasky,Why would you even compete in something like that?
Nadia Stasky,It doesn't matter.
Nadia Stasky,"Um, I called earlier about the free vaccinations thing."
Nadia Stasky,We're hoping to set up a mobile hospital in one of your parks.
Nadia Stasky,"I'm sorry, is there something wrong with him?"
April Ludgate,"Tom, this witch wants to reserve a park for her satanic ritual."
April Ludgate,Can you help her?
Tom Haverford,Right.
Tom Haverford,Smashing.
Tom Haverford,"Uh, yes, I'm Thomas Haverford."
Tom Haverford,I sort of run the whole department.
Tom Haverford,"Um, what was the name, then?"
Nadia Stasky,"Uh, Nadia Stasky."
