Character,Line
Ben Wyatt,God!
Leslie Knope,Sorry!
Leslie Knope,Sorry!
Ben Wyatt,What's happening?
Ben Wyatt,I can't hear!
Ben Wyatt,And I'm dying!
Leslie Knope,"Baby, relax."
Leslie Knope,I just wanted to surprise you.
Leslie Knope,Open the bottom drawer and read the cake.
Ben Wyatt,"""Will you go to prom with me?"""
Ben Wyatt,"Well, this just keeps getting weirder."
Leslie Knope,"Because of the merger, schools have had to make some cuts, and the first thing to go was the senior prom."
Leslie Knope,"So as a last minute hail Mary, the parks department is throwing prom for them."
Leslie Knope,"They also wanted to cut A.P. Latin, so I volunteered to teach Latin."
Leslie Knope,"Which reminds me, I need to learn Latin."
Leslie Knope,"I can't stop thinking about that job in Chicago, and I think this prom will be a good distraction."
Leslie Knope,"In my senior year when I couldn't decide between Indiana and Amherst, I focused all my energy on planning my prom, and it was the best prom ever."
Leslie Knope,"Plus, I made out with Harvey from the A.V. Club."
Ben Wyatt,"Hmm, I think I'm jealous of Harvey."
Leslie Knope,You shouldn't be.
Leslie Knope,"A few weeks later, he almost died from a VCR electrocution."
Leslie Knope,Legend has it that he can still turn on a microwave just by blinking at it.
Leslie Knope,"The point is, will you go to the prom with me?"
Ben Wyatt,"Well, I thought you'd never ask, because we're nearing 40."
Ben Wyatt,Course I will.
Leslie Knope,Yay!
Leslie Knope,Prom!
Leslie Knope,"Okay, we are making progress, prom committee."
Leslie Knope,"Now, our budget is basically zero, so we're gonna need to cover all the jobs that we would normally hire people for."
Leslie Knope,"Tom, you're in charge of music."
Ben Wyatt,"Oh, man."
Ben Wyatt,"Well, all right."
Leslie Knope,"Aw, did you want to DJ, little puppy?"
Leslie Knope,I didn't know that little puppies could operate an iPod with their little puppy paws.
Donna Meagle,Eew and boo.
Donna Meagle,This kind of thing is getting out of hand with you two.
Donna Meagle,Y'all are on official warning.
Ben Wyatt,I did DJ a little back in the day.
Ben Wyatt,"I had a show called ""Zoot Suit Wyatt"" on Carleton College radio."
Ben Wyatt,"Tuesdays from 3:00 to 5:00 A.M., I was the king of swing."
Tom Haverford,I thought we as a culture agreed to forget the year that everyone was into swing.
Leslie Knope,"Okay, Ben, you can co-DJ with Tom."
Ben Wyatt,Yes.
Tom Haverford,What!
Tom Haverford,No!
Tom Haverford,"If you eclipse my flavor in any way, we'll have a problem."
Leslie Knope,"All right, Allison, you are in charge of choosing the prom theme, and now it has to be perfect and magical and look like a million bucks but cost zero bucks."
Leslie Knope,So what do you got?
Allison,"I was thinking the theme could be ""Fairy tale."""
Allison,"The theater department did Into the Woods last year, and we still have the scenery."
Allison,I laid out some preliminary plans in this binder.
Leslie Knope,Wow!
Leslie Knope,Are those jense-trodder color tabs?
Leslie Knope,I thought those were discontinued.
Allison,They were.
Allison,I had to order them through some Mexican back channels.
Leslie Knope,Juan Julio Oficina Supplies?
Leslie Knope,I thought they went out of business.
Allison,"They did, but they opened up a new one in Oaxaca."
Ben Wyatt,What is happening right now?
Leslie Knope,"Okay, everybody get back to work."
Leslie Knope,"And, Allison, come by my office later so we can keep crushing it."
Ben Wyatt,"All right, let's go over our set list."
Tom Haverford,Set list?
Tom Haverford,No need.
Ben Wyatt,"So, what, you're just gonna put your iPod on shuffle?"
Tom Haverford,"No, but I could."
Tom Haverford,You want to know why?
Ben Wyatt,Because every single song you own is a banger?
Tom Haverford,Every song I download has to pass a series of rigorous tests to answer one simple question: Is it a banger?
Tom Haverford,How many beats per minute?
Tom Haverford,How many drops?
Tom Haverford,How dope are the drops?
Tom Haverford,Were any acoustic instruments used?
Tom Haverford,"If so, it is not a banger."
Tom Haverford,I once accidentally downloaded a Lumineers song.
Tom Haverford,I had to throw away my whole computer just to be safe.
Ben Wyatt,"I feel like, to me, set list flow is very important."
Ben Wyatt,"I mean, we're basically vibe curators."
Tom Haverford,Ugh.
Tom Haverford,"Oh, no."
Ben Wyatt,"I hope that high school auditorium's big enough, 'cause I'm bringing 10000 maniacs."
Tom Haverford,Sometimes it's really hard to be friends with you.
Tom Haverford,Thank God we don't have to be seen together.
Ben Wyatt,"Yes, we do."
Ben Wyatt,We're co-DJs.
Tom Haverford,Not anymore.
Tom Haverford,You're working with DJ Robo Drop.
Tom Haverford,"Badada, mm, mm, mm, mmmm"
Andy Dwyer,"Oh, I hope that this prom is exactly like my senior prom."
Andy Dwyer,"Theme: ""My heart will go on."""
Andy Dwyer,Photo booth with Monica Lewinsky lookalike.
Andy Dwyer,Afterparty Megan Rickerson's house.
Andy Dwyer,Her parents used to let us drink as much as we wanted.
Andy Dwyer,That'sâ¦ that's where we should have this afterparty.
Andy Dwyer,"Or, no, we can't, because they moved to prison."
April Ludgate,"Prom is nothing but a huge party full of smiling, dancing people enjoying themselves."
April Ludgate,It's literally my worst nightmare.
April Ludgate,And I hate punch.
Andy Dwyer,"April Ludgate, I'm gonna sing to you a song that I first wrote 15 years ago for my prom date, Sarah Weiss."
Andy Dwyer,"You're as hot as the sun but you're as cold as ice let me take you to paradise come on, roll the dice it will be twice as nice Sarah Wei-- April Ludgate will you go to prom with me?"
Andy Dwyer,Boom!
Andy Dwyer,Will you?
April Ludgate,Fine.
April Ludgate,"I'll go with you, because Leslie's making us, and we live together, and we only have one car right now because you laked mine."
Jerry Gergich,"What does ""laked"" mean?"
Andy Dwyer,I tried to jump it over a lake.
Andy Dwyer,"Why don't you stay out of our conversations, Larry!"
Jerry Gergich,Will do.
