Character,Line
Ben Wyatt,"Okay, I don't want to over-hype this, but presenting... Dun-da-da-dah!"
Ben Wyatt,the new city of Pawnee website!
Ben Wyatt,Totally revamped!
Leslie Knope,"You can pay parking tickets, you can apply for a business license and the best part is we're going to put up an online poll so people can pick the new town slogan!"
Andy Dwyer,"Hey, look a panda!"
Ben Wyatt,"Yeah, that's just some mascot thing that the designer put up on the front page."
Ben Wyatt,"But more importantly, you can now apply for a utility tax refund online!"
Donna Meagle,"Wait, the panda's name is Peebo."
April Ludgate,Peebo.
Jerry Gergich,"Look, you can even play pingpong."
Tom Haverford,What?
April Ludgate,I want to play!
Andy Dwyer,"No, me first!"
Andy Dwyer,Me first!
Andy Dwyer,That's it.
Andy Dwyer,I'm calling it.
Leslie Knope,"Guys, Ben worked really hard on this, okay?"
Leslie Knope,Let's look at the online polls.
Leslie Knope,It's gonna be a cool way to choose our new town's slogan.
Leslie Knope,Oh!
Leslie Knope,The panda holds a paddle with his tail.
Leslie Knope,I want to play!
Ron Swanson,"Congratulations, Ben."
Ron Swanson,This is truly a fine panda game you made.
Ron Swanson,Well done.
April Ludgate,What else does he do?
Ben Wyatt,"I think if you click on the bamboo, it puts on a top hat."
All,What?
Andy Dwyer,"I love you, Ben!"
Craig Middlebrooks,What's wrong with you?
Craig Middlebrooks,You look like Meryl Streep at the end of Ironweed.
Craig Middlebrooks,You wish.
Andy Dwyer,"Well, I've been driving all over Indiana looking for bands to play the unity concert."
Andy Dwyer,"I got nothing to show for, except for four car accidents."
Andy Dwyer,All these strangers' insurance information.
Andy Dwyer,"Ooh, I get it, you have car insurance."
Andy Dwyer,Why don't you brag about it?
Andy Dwyer,"Hey, you are from Eagleton, right?"
Andy Dwyer,Are there any places out there I should check out?
Craig Middlebrooks,I used to go see live shows at Patterson's.
Craig Middlebrooks,But I'm boycotting until the owner apologizes for what she said to me at the dog park.
Andy Dwyer,Cool.
Andy Dwyer,Anything else?
Craig Middlebrooks,I hear Cozy's Bar is pretty packed on Thursdays.
