Character,Line
Tom Haverford,"Hi, there."
Ron Swanson,What's going on here?
Leslie Knope,Puppy!
April Ludgate,A puppy is here!
Leslie Knope,Can we keep him?
Andy Dwyer,My neighbor's dog had a litter.
Andy Dwyer,They're looking for people to adopt.
April Ludgate,I love him.
Andy Dwyer,I wish he had tiny puppy shoes.
Andy Dwyer,I would totally shine his little shoes for free.
Andy Dwyer,I do say the cutest stuff.
Ron Swanson,"Look, I love a good dog as much as the next guy, but this building doesn't allow animals."
Ron Swanson,"Andy, take him outside."
Andy Dwyer,"What, and shoot him?"
Ron Swanson,No.
Ron Swanson,Just keep him outside.
Tom Haverford,"Oh, come on, Ron."
Tom Haverford,I'm just a little puppy.
Tom Haverford,I ain't done nothing wrong.
Tom Haverford,I'm just a puppy.
Tom Haverford,I like your mustache.
Tom Haverford,I wish I could have one.
Tom Haverford,But I can't.
Tom Haverford,Because I'm just a little puppy.
Ron Swanson,"Okay, take him out and shoot him."
Leslie Knope,Fire!
Leslie Knope,Fire!
Leslie Knope,Fire!
Andy Dwyer,What?
Andy Dwyer,Where?
Leslie Knope,In my belly.
Leslie Knope,Because the 24 hour Pawnee Cares Diabetes Telethon starts tonight.
Ron Swanson,Goody.
Ron Swanson,Let us know how it went.
Leslie Knope,"Every year, Pawnee Cares teams up with the local cable access station to raise money for diabetes research."
Leslie Knope,"And it's important, because Pawnee is the fourth fattest town in the U.S."
Leslie Knope,"It goes us, Dallas, Tulsa and certain parts of The Mall of America."
Leslie Knope,"Well, this year, I get to program my own four hour block."
Leslie Knope,I know.
Leslie Knope,Exciting!
Leslie Knope,"So, I have signed you all up for multiple shifts."
Leslie Knope,"Yes, just to answer phones and provide moral support."
Tom Haverford,From when to when?
Leslie Knope,Tonight.
Leslie Knope,From 2:00 a.m. to 6:00 a.m.
Jerry Gergich,What?
Jerry Gergich,No.
Jerry Gergich,"Leslie, please."
Jerry Gergich,Tonight's kind of a big night.
Jerry Gergich,"You know, all my kids are away, andâ¦"
Tom Haverford,Gross!
Tom Haverford,No!
Tom Haverford,It's Jerry's sex night.
Tom Haverford,That ruins sex and tonight.
Leslie Knope,Why don't you put on one of these Tshirts?
Leslie Knope,It will get you in the mood.
Leslie Knope,I stayed up all night last night making these.
Tom Haverford,You stayed up all night the night before an all night telethon.
Leslie Knope,Yes.
Leslie Knope,And here's why.
Leslie Knope,Boom.
Tom Haverford,"""Diabetes."""
Tom Haverford,"""Let's Dia-beat-this."""
Leslie Knope,Yeah.
