Character,Line
Ron Swanson,I found this typewriter next to the courtyard dumpster.
Ron Swanson,An old Underwood 5 with original carriage return.
Ron Swanson,"Took her home, polished her up and bought a brand new ribbon off of electronicbay.com"
April Ludgate,"Okay, somebody has got to do something."
April Ludgate,I'm getting a cluster headache.
Jerry Gergich,He's leaving.
Tom Haverford,Let's go.
Tom Haverford,I've got to throw it away.
Tom Haverford,"No, I'm not."
Tom Haverford,It weighs a billion tons.
Jerry Gergich,"What is he typing, anyway?"
Donna Meagle,"""If you sons of bitches try to remove this typewriter, I'll kill you."""
Ron Swanson,I'm going to type every word I know!
Ron Swanson,Rectangle.
Ron Swanson,America.
Ron Swanson,Megaphone.
Ron Swanson,Monday.
Ron Swanson,Butthole.
Ben Wyatt,"Well, I hate to be the bearer of bad tidings, but these interviews are more important than we thought."
Ben Wyatt,"Harvest Fest is two weeks away, and awareness is still pretty low."
Leslie Knope,"Boy, 35%?"
Ben Wyatt,It's actually 34.2%
Leslie Knope,"""34.2%"""
Leslie Knope,"I'm Ben, the numbers robot."
Ben Wyatt,It's just an exact calculation.
Tom Haverford,"""It's just an exact calculation."""
Ben Wyatt,All right.
Leslie Knope,"So, we're doing a huge media blitz to publicize the Harvest Festival, and we've got TV, newspaper, radio. And I even called Oprah."
Leslie Knope,"Well, I tried to call Oprah."
Leslie Knope,I couldn't get her number.
Leslie Knope,"I'm putting it out there, like The Secret."
Leslie Knope,"And hopefully, she'll call me."
Leslie Knope,Our first interview is at 93.7 FM with Crazy Ira and The Douche.
Tom Haverford,Crazy Ira and The Douche.
Leslie Knope,They are Pawnee's most hilarious drive time radio guys.
Tom Haverford,So much better than Tubby Tony and the Papaya.
Tom Haverford,Am I right?
Leslie Knope,They're seriously so funny.
Ann Perkins,Is this right?
Chris Traeger,"This feels almost perfect, but I don't think your core has maximized elasticity."
April Ludgate,Okay.
April Ludgate,"I'll come back, if you guys are being weird."
Chris Traeger,"No, no, no, no, no."
Chris Traeger,"You're exactly the person that I most want to talk to, right at this moment."
Chris Traeger,And lunge.
Chris Traeger,Have you given my offer any more thought?
April Ludgate,What exactly would happen if I said yes?
Chris Traeger,"Well, you would work at the state house."
Chris Traeger,"You would coordinate my professional and personal schedule, and we would give you a small relocation fee for your move to Indianapolis."
April Ludgate,That sounds boring.
April Ludgate,But I have nothing keeping me here.
April Ludgate,Do you have Internet in your office?
Chris Traeger,Yes.
April Ludgate,"Fine, I'll do it."
Chris Traeger,That is literally the best news that I've heard all day.
Ann Perkins,"Unlike April, I still do not know what my future holds with Chris."
Ann Perkins,And it's starting to bum me out.
Ann Perkins,I need some more vitamin D.
Ann Perkins,Yeah.
Andy Dwyer,Hey.
