Character,Line
Leslie Knope,"If I could sum up the Pawnee Commons in one word, it would be: Dynamite."
Leslie Knope,"""Dynamite"" stands for daring, youth friendly, natural, amazing, merry, inviting, tourist attractiony, and ecofriendly."
Extra,"Thank you, Councilwoman Knope very, very thorough and so many acronyms."
Leslie Knope,I know.
Extra,Councilman Jamm?
Jeremy Jamm,"Thank you, Bill."
Jeremy Jamm,"No, please, everyone be seated."
Jeremy Jamm,Let the record show there was a standing ovation.
Leslie Knope,"No, there wasn't."
Ann Perkins,There was not.
Jeremy Jamm,History will decide.
Jeremy Jamm,My plan for lot 48 is simple.
Jeremy Jamm,But why read it when you can shove it right in your face?
Jeremy Jamm,I want to sell this lot to Paunch Burger.
Jeremy Jamm,Here's why.
Jeremy Jamm,We make money.
Jeremy Jamm,They make money.
Jeremy Jamm,They make burgers.
Jeremy Jamm,We eat burgers.
Extra,Mmhmm.
Jeremy Jamm,That's a win win win win.
Jeremy Jamm,Presentation over.
Jeremy Jamm,Jamm out.
Extra,"Oh, man."
Extra,Are there curly fries?
Extra,I love their curly fries.
Leslie Knope,Ann.
Leslie Knope,"Well, the planning commission has a week to decide if they want a beautiful, innovative community park or a bunch of greasy lard bombs."
Leslie Knope,I'm not editorializing.
Leslie Knope,Paunch Burger's number one selling burger is the greasy lard bomb.
Leslie Knope,Just give me a hint as to which way you guys are leaning.
Extra,Off the record?
Extra,We're leaning towards Jamm.
Leslie Knope,Why?
Leslie Knope,You know my plan is better for the community.
Extra,"Oh, it's way better, but you're also short 50,000 dollars."
Extra,We can't approve an underfunded project.
Extra,"Hey, get the rest of the money, you get your park."
Extra,You only have a week.
Leslie Knope,"What are we going to do, guys?"
Leslie Knope,How are we going to get that money?
Tom Haverford,"Hey, come on."
Tom Haverford,"Cheer up, little pups."
Tom Haverford,Registering for your wedding is the most important moment of your lives.
Tom Haverford,Love love fades away.
Tom Haverford,But things Things are forever.
Ben Wyatt,That's beautiful.
Ben Wyatt,Did the Dalai Lama say that?
Tom Haverford,Ooh!
Tom Haverford,A citrus reamer!
Tom Haverford,"Oh, this is the only way to ream citrus."
Tom Haverford,You're gonna need two of these.
Leslie Knope,I don't want a citrus reamer.
Leslie Knope,I don't want any of this stuff.
Leslie Knope,"Look, all I want is to be married to you and to somehow get 50,000 dollars."
Ben Wyatt,"Hey, hang on."
Ben Wyatt,What if we register for the park instead of the stuff?
Ben Wyatt,We could organize a black tie gala with food and music and maybe a silent auction to raise money.
Leslie Knope,"Yeah, and people could donate, or they could bid to put their names on everything in the park, like benches, cobblestones, trees, ants, air."
Ben Wyatt,"Right, some of that is possible."
Leslie Knope,You are a genius.
Leslie Knope,Let's go.
Ben Wyatt,Okay.
Tom Haverford,"Hey, guys."
Tom Haverford,I'm really feeling these sheets very cozy.
Leslie Knope,I just want to say thank you for all your hard work this week.
Leslie Knope,Give yourselves a hand.
Leslie Knope,But your applause is premature.
Ann Perkins,You just told us to applaud.
Ann Perkins,"Well, if I told you to jump off a bridge, would you do it?"
Ann Perkins,"I hope so, because the only way that this gala is going to happen is if you do everything I say."
Leslie Knope,"Tom, I need you to contact three more food vendors on this list, and they need to do it for free."
Tom Haverford,I'm omelet.
Tom Haverford,Get it?
Tom Haverford,"""I'm on it,"" ""I'm omelet""?"
Leslie Knope,"I get it, and I love it, but I don't have time for food puns right now."
Tom Haverford,"Okay, I'm heading out."
Tom Haverford,Goodpie.
Leslie Knope,Go.
Tom Haverford,Gurt.
Tom Haverford,Gogurt.
Tom Haverford,I'm incredible.
Tom Haverford,See you guys.
Leslie Knope,Okay.
Leslie Knope,"Donna, Jerry"
Chris Traeger,Leslie!
Chris Traeger,"Leslie, we need you back at the command center right now!"
Chris Traeger,We have a class one city emergency.
Jerry Gergich,"Oh, my God."
Jerry Gergich,Gayle.
Jerry Gergich,My girls!
Leslie Knope,What's the emergency?
Chris Traeger,"Oh, this is just a drill, but I am having so much fun pretending it's real."
Leslie Knope,Are you kidding me?
Leslie Knope,The disaster preparedness people picked today?
Leslie Knope,Each year every city in Indiana is reviewed by the Department of Emergency Preparedness.
Leslie Knope,"And Pawnee has failed On last year's report, they stated, ""Every time it so much as drizzles in Pawnee, ""the town is in danger of collapsing into Thunderdome style, postapocalyptic mayhem."""
Ben Wyatt,"Okay, we don't know how long Leslie's going to be gone, so let's just knock some of this stuff off."
Ann Perkins,Should someone stop Jerry?
Jerry Gergich,Gayle!
Donna Meagle,"Eh, he'll figure it out eventually."
Andy Dwyer,"First, we do the written exam, and then we do the personality evaluation, which I feel like I'm gonna nail, 'cause people always say, ""But he's got a great personality."""
Andy Dwyer,"Okay, quiz me."
April Ludgate,"Okay, what does it mean when an officer calls in a 3542?"
Andy Dwyer,Assault and battery.
Andy Dwyer,"The way I remember that, I picture 35 a salt shakers and 42 batteries."
April Ludgate,Great.
April Ludgate,What is the criminal code for arson?
Andy Dwyer,Arson is 533.
Andy Dwyer,You know how I remember that?
Andy Dwyer,I picture 533 salt shakers and batteries lighting a building on fire.
Andy Dwyer,"Oh, I'm nervous."
April Ludgate,"Babe, look at me."
April Ludgate,"You are going to pass this test, and you are going to become a cop."
April Ludgate,"And if you don't, I'll just divorce you and marry someone else and then cheat on them with you."
Andy Dwyer,"Aw, that's so sweet."
April Ludgate,"Also, I got you a lucky charm."
April Ludgate,"I found a dead rabbit on the side of the road, and I cut its feet off and made it into a lucky charm."
Andy Dwyer,"Baby, you are so creepy."
Andy Dwyer,Thank you.
Andy Dwyer,I love it.
Extra,"Dwyer, you're up."
Leonard Tchulm,My name is Leonard Tchulm.
Leonard Tchulm,I'm head of the Indiana Department of Emergency Preparedness.
Leonard Tchulm,And today I'm going to bring death and destruction to your town.
Leslie Knope,I am Leslie Knope.
Leslie Knope,I am the Pawnee Emergency Czar.
Leslie Knope,"And this year, we are more than prepared for your test, but, um, it just so happens, today is a little inconvenient."
Leonard Tchulm,"Good, because the best day for a drill is when it's inconvenient for everyone."
Leonard Tchulm,My mother is getting a colonoscopy today.
Leonard Tchulm,"I'm not even sure there's anyone there to drive her home, so we're all making sacrifices, Ms. Knope."
Leslie Knope,"Well, I'm very sorry to hear about your mother."
Leonard Tchulm,"Mm, we're not that close."
Leslie Knope,Oh.
Leslie Knope,Good.
Leonard Tchulm,"Okay, volunteer victims, please put your identification placards on now and go to your designated areas throughout town."
Leonard Tchulm,"First Responders, return to your stations, and the simulation begins Went past the zero."
Leonard Tchulm,"I got to wait till it goes Okay, now."
Chris Traeger,"All right, officers, bolt the doors."
