Character,Line
Leslie Knope,Which brings us to 2005.
Leslie Knope,"The Circle Park renovation was complete, and a young man named Thomas Haverford was still two years away from getting hired."
Ron Swanson,"Perhaps we could skip ahead, and just hit the highlights?"
Leslie Knope,"I mean, I planned a comprehensive retrospective, but I guess I can just focus on the really important moments."
Leslie Knope,Ah!
Leslie Knope,The debate about getting a pod-based coffee machine.
Leslie Knope,Garry and I wrote a little musical number about that.
Leslie Knope,And it goes a little something like this.
April Ludgate,"Why can't we just quickly shake hands, pretend we liked each other, and get out of here?"
Ron Swanson,I'm all for that.
Leslie Knope,"No, April, Ron, we need to celebrate everything that we've done together as a group."
Leslie Knope,This is our last day here.
Leslie Knope,Who knows when we'll all be together like this again?
Extra,Excuse me.
Extra,Hi.
Extra,There's a swing in a park near my house that's been broken for about three months.
Extra,Is it possible to get that fixed?
Andy Dwyer,"""Anything is possible, if you follow your dreams."""
Andy Dwyer,Johnny Karate.
Donna Meagle,Except getting a swing fixed.
Donna Meagle,None of us actually work here anymore.
Donna Meagle,Come back in two hours when the office is open.
Extra,Thank you.
Leslie Knope,Wait.
Leslie Knope,"Actually, sir, we can help."
Leslie Knope,"We can, and we will."
Leslie Knope,"Because when we used to work here, helping people was our job."
Leslie Knope,Forget about these old stories.
Leslie Knope,Let's make a new one.
Leslie Knope,Let's fix the swing.
Leslie Knope,One last ride for the Parks and Rec gang.
Leslie Knope,Who's in?
All,Yeah!
Jerry Gergich,The vote was four to three Donna said to get rid of me But Ron was suspicious Because my coffee was delicious--
Tom Haverford,"Come on, Garry."
Tom Haverford,You're the mayor now.
Tom Haverford,Have some dignity.
Leslie Knope,Okay.
Leslie Knope,"So, what is our first step on our quest to help this man?"
Leslie Knope,Does anyone remember?
Jerry Gergich,A Parks and Recreation equipment requisition form.
Leslie Knope,Correct!
Leslie Knope,Five points for Hufflepuff.
Ben Wyatt,"Well, everything is paperless now."
Ben Wyatt,And none of us has a login.
Ben Wyatt,So we can't access the computers.
Donna Meagle,Hang on.
Donna Meagle,I have one right here.
Donna Meagle,"Thanks to Leslie's scrapbook, ""Thanks Form the Memories""."
Leslie Knope,I knew those scrapbooks were going to come in handy.
Leslie Knope,You came through like you always do.
Leslie Knope,"God, I'm going to miss you."
Leslie Knope,"Your confidence, your joie de vivre."
Leslie Knope,That crazy story about you getting kicked out of En Vogue.
Donna Meagle,"Technically, I kicked them out."
Leslie Knope,When do you leave for Seattle?
Donna Meagle,Soon as I get my local real estate license.
Donna Meagle,"I'm married to a teacher, and I love the man, but I also love diamond watches."
Leslie Knope,"Well, whatever happens, I know that you are going to live an exciting and full life."
Donna Meagle,"3400 square feet, a beautiful view of Puget Sound, and if you look out this window, you can watch them build the new Space Haystack around the Space Needle."
Extra,Wow.
Extra,I can hardly see the needle anymore.
Donna Meagle,"I know, that's kind of the point."
Donna Meagle,"So, what are we thinking?"
Joe,Wow.
Joe,It sold in two hours?
Donna Meagle,You cannot beat the Seattle real estate market.
