Character,Line
Tom Haverford,"We now go live to Councilman Bill Dexhart, who's giving a press conference about his sex scandal."
Leslie Knope,"You are getting a rare glimpse at this exclusive, government only event."
Leslie Knope,"Each December, one department puts on a show that spoofs what happened in our town."
Leslie Knope,Prepare to laugh your Asnov!
Leslie Knope,Sid Asnov is a former city councilman.
Leslie Knope,Some of the jokes are sort of inside.
April Ludgate,"Councilman Dexhart, you're involved in yet another scandal?"
April Ludgate,"That's crazier than Mayor Gunderson's dog, Rufus."
Leslie Knope,"Yes, there is a new one, and it's a doozy."
Leslie Knope,"I don't want to go into the details, but let me just say that it involves multiple women, a love child, nurses, rabbis, priests."
April Ludgate,Hey!
Leslie Knope,"Well, I hope you can all join me at my fundraiser tonight."
Leslie Knope,"I am being supported, of course, by the Glitter Factory and 1-800-Mattress."
Leslie Knope,Classic!
Tom Haverford,"Pawnee is a city that ain't very pretty, And good government is our goal"
April Ludgate,We may not be big And our mayor wears a wig But at least the raccoon infestation is under control
All,It's the most wonderful time in Pawnee
Leslie Knope,"Lot 48 was once a horrible and disgusting pit, and now it's the site of Pawnee's Winter Wonderland."
Leslie Knope,This could not be more perfect if I had planned it myself.
Leslie Knope,Which I did.
Leslie Knope,And it's awesome.
Leslie Knope,"So, let's talk skedge, guys."
Leslie Knope,"The kids are gonna come at 9:00 a.m. on Saturday, and everyone's gonna do Santa for two hours, so I would just advise everyone, before you get in your costume, to go to the bathroom, so we can avoid what happened last year."
Jerry Gergich,It was just farts.
Leslie Knope,"6:00 p.m., caroling with the youth choir, and I am proud to announce, for the first time ever this year, our tree lighting ceremony will be simulcast on Internet radio."
Leslie Knope,Thank you.
Tom Haverford,That's a really big deal.
Tom Haverford,It is.
Leslie Knope,Thank you.
Tom Haverford,Listening to that tree lighting is gonna be dope.
Leslie Knope,Okay.
Leslie Knope,"Any questions, direct them to me."
Leslie Knope,Dismissed.
April Ludgate,"Hey, there was a message for you on the work voicemail."
April Ludgate,"Councilman Dexhart wants to meet with you at 9:00 p.m., the Boardwalk Lounge."
Leslie Knope,Shut up.
April Ludgate,No.
Leslie Knope,I'm not scared.
Leslie Knope,I got nothing to apologize for.
Leslie Knope,I could've been a lot harder on him.
Leslie Knope,He got off easy.
Leslie Knope,And often.
Leslie Knope,"Thank you, I'll be here all week!"
Andy Dwyer,You gotta tell me about him.
Andy Dwyer,I don't know anything about him.
April Ludgate,Okay.
April Ludgate,"He's 23, he's kind of my boyfriend, he's gay."
April Ludgate,"Last year we got drunk and he took me to the Ice Capades, and I didn't get him anything."
Andy Dwyer,And he's gay?
April Ludgate,Yeah.
Andy Dwyer,Brokeback Mountain DVD.
April Ludgate,No.
Andy Dwyer,Fellows love that.
April Ludgate,No.
Andy Dwyer,"Does he already have, like, chaps?"
Andy Dwyer,Like assless chaps?
April Ludgate,You know what?
April Ludgate,Forget it.
Andy Dwyer,Okay.
Andy Dwyer,Why are you asking me?
April Ludgate,Because I don't know.
April Ludgate,There's no one else to ask.
April Ludgate,At least you're kind of young.
Andy Dwyer,"All right, I'll tell you what."
Andy Dwyer,I'm gonna think about it.
Andy Dwyer,"Through the course of all day, I'm gonna mull it over."
Andy Dwyer,"It's all I'm gonna think about, but you're in good hands."
Andy Dwyer,"I'm gonna come up with something really, really good."
April Ludgate,Really?
April Ludgate,All right.
Andy Dwyer,Yeah.
Andy Dwyer,You got that?
April Ludgate,Yeah.
Leslie Knope,Councilman Dexhart?
Leslie Knope,I'm Leslie Knope.
Councilman Dexhart,Thank you for meeting me.
Leslie Knope,It's my pleasure.
Leslie Knope,I am assuming this is about my performance in the Government Follies last night.
Leslie Knope,"I'd just like to say that I have nothing to apologize for, except for perhaps being too incisive."
Councilman Dexhart,I don't want you to apologize.
Councilman Dexhart,I want to know who told you.
Leslie Knope,Who told me?
Councilman Dexhart,Mmmhmm.
Leslie Knope,Nobody.
Leslie Knope,Nobody told me nothing!
Leslie Knope,What are we talking about?
Councilman Dexhart,"Based on that skit, I know you heard about the new scandal that's about to break."
Councilman Dexhart,Who told you?
Councilman Dexhart,Was it the babysitter?
Councilman Dexhart,Was it the nurse who delivered our love child?
Leslie Knope,What?
Councilman Dexhart,"All right, stop playing dumb."
Councilman Dexhart,You know damn well what happened.
Councilman Dexhart,"I got the babysitter pregnant, then when she was in the delivery room, I had sex with not one, but four nurses in a supply closet, as well as a woman whose husband was getting a liver transplant."
Councilman Dexhart,Mmm.
Councilman Dexhart,"Now, which one of them told you?"
Councilman Dexhart,Was it the liver lady?
Leslie Knope,"Well, I-- No one-- I haven't-- I haven't heard any of this, ever, in my whole life."
Councilman Dexhart,Oh!
Leslie Knope,"Believe me, I would have remembered this."
Councilman Dexhart,Okay.
Councilman Dexhart,"Well, in that case, everything I just told you was just a funny prank."
Tom Haverford,Oh!
Tom Haverford,Hi!
Tom Haverford,How was your meeting?
Leslie Knope,It was fine.
Leslie Knope,Pretty straightforward.
Leslie Knope,Short meeting.
Leslie Knope,He's a busy guy.
Tom Haverford,"Yes, very busy."
Tom Haverford,Look at this article.
Leslie Knope,No!
Leslie Knope,What the--
Perd Hapley,The story of this story is that it won't stop developing.
Perd Hapley,The mystery woman who met with Councilman Dexhart last night appears to be a government employee named Leslie Norp.
Leslie Knope,"Oh, my God!"
Leslie Knope,"Oh, God!"
Perd Hapley,"According to unconfirmed reports in the Pawnee Sun, the two bent an elbow at this local watering hole, and although they left separately, no one knows where they woke up together."
Perd Hapley,"Perd Hapley, Channel Four News."
Leslie Knope,All I did was write and perform in one amazing skit.
Ann Perkins,"Leslie, it's the Pawnee Sun."
Ann Perkins,It's a tabloid.
Ann Perkins,Nobody else has written about it.
