Character,Line
Tom Haverford,"Hi, I'm Tom Haverford."
Tom Haverford,I work at the Parks Department.
Justin,It's a little douchie.
Tom Haverford,"Good call, J."
Tom Haverford,"I'm getting divorced, so I'm trying to up my game."
Tom Haverford,Who am I supposed to ask for fashion advice?
Tom Haverford,Jerry?
Tom Haverford,He wears the same soup-stained khakis every day.
Tom Haverford,Justin's my savior.
Tom Haverford,He's like an issue of GQ that's come to life.
Tom Haverford,Tommy Timberlake.
Leslie Knope,You look like Encyclopedia Brown.
Tom Haverford,Sequins!
Justin,Try it without the gloves.
Tom Haverford,"Sequins, minus the gloves."
Tom Haverford,"Hey, what's up?"
Tom Haverford,I'm Tom.
Tom Haverford,Is my shirt lighting up?
Tom Haverford,'Cause I didn't even notice.
Tom Haverford,"All right, guys."
Tom Haverford,Let's talk accessories.
Tom Haverford,Be honest.
Tom Haverford,Which cane do you like better?
Tom Haverford,Dragon?
Tom Haverford,Serpent?
Tom Haverford,Dragon?
Tom Haverford,Serpent?
Tom Haverford,"Belt buckle, says, ""What's cracking?"""
Tom Haverford,I can have it say whatever I want.
Tom Haverford,"It can say, ""What's cracking?"""
Tom Haverford,"""I'm Tom."""
Tom Haverford,"""What's cracking, girl?"""
Tom Haverford,"What's cracking, boo?"""
Tom Haverford,Eagle medallion!
Leslie Knope,"Well, as far as white, leather suits goâ¦"
Justin,It's horrible.
Donna Meagle,I like it.
Randall,Sweetums has been Pawnee's leading sweet treat manufacturer for over 80 years.
Randall,And we are so excited about our new partnership with the Parks Department.
Leslie Knope,"Starting next month, Sweetums is gonna take over the concession stands in our parks."
Leslie Knope,"I mean, I don't love the idea of corporate sponsorship, but Sweetums is an institution."
Leslie Knope,"When you think of Pawnee, you think of Sweetums."
Randall,"Although candy is our bread and butter, we also care about the health of our customers."
Randall,"And that's why we'll be debuting our new healthy energy bar, NutriYums."
Randall,Take a look.
Nick Newport Jr.,"Hi, I'm Nick Newport, Jr., CEO of Sweetums."
Nick Newport Jr.,"And I'd like to introduce to you our new line of energy bars, NutriYums."
Nick Newport Jr.,"We start with then we add just a little bit of Sweetums corn syrup, a little drop of sunshine, and some other stuff."
Nick Newport Jr.,"And since they're from Sweetums, you know your kids are gonna love them."
Leslie Knope,"Wow, that family looks so healthy."
Leslie Knope,Look at them.
Leslie Knope,They're all wearing vests!
Nick Newport Jr.,Dakota?
Nick Newport Jr.,Denver?
Nick Newport Jr.,"Sorry, Shoelace."
Nick Newport Jr.,We don't make NutriYums for dogs.
Nick Newport Jr.,Yet.
Leslie Knope,Shoelace.
Commercial,NutriYums.
Commercial,Where nutritious meets tasty.
Commercial,By Sweetums.
Sweetums Employee,If you can't beat themâ¦
All,Sweetums!
Ron Swanson,I could not be happier about this.
Ron Swanson,I think the entire government should be privatized.
Ron Swanson,Chuck E. Cheese could run the parks.
Ron Swanson,Everything operated by tokens.
Ron Swanson,"Drop in a token, go on the swing set."
Ron Swanson,"Drop in another token, take a walk."
Ron Swanson,"Drop in a token, look at a duck."
Tom Haverford,Brendanawicz!
Tom Haverford,"Quick question, do you personally know Xzibit?"
Tom Haverford,"Because I was checking out that pickup truck of yours, and that ride is pimped!"
Mark Brendanawicz,It's really nice of you to compliment my pickup truck with no ulterior motives.
Tom Haverford,"Yeah, so, listen, I need to move some stuff this weekend into my new bachelor pad, since my divorce is finally going down."
Tom Haverford,Just some odds and ends.
Tom Haverford,"You can bring up the Markmobile, help me move, right?"
Mark Brendanawicz,"I'm totally blanking on a valid excuse right now, so, yes."
Mark Brendanawicz,I'll help you.
Tom Haverford,My boy!
Mark Brendanawicz,I [bleep] hate having a pickup truck.
Tom Haverford,"Andy, I have a very interesting business proposal for you."
Tom Haverford,I'm moving a lot of heavy stuff out of my place this weekend.
Andy Dwyer,Can I help you move?
Andy Dwyer,I'm really good at it.
Andy Dwyer,"Afterwards, I'll take the cardboard from the boxes and use it for break dancing."
April Ludgate,"I'll go, too."
Tom Haverford,Really?
Tom Haverford,'Cause an hour ago you told me you'd rather watch a sex tape of your grandparents.
April Ludgate,Shut up.
April Ludgate,I don't have anything else to do.
April Ludgate,Do you want help or not?
Tom Haverford,All right.
Tom Haverford,See you guys later.
Andy Dwyer,"I think that that's really, really sweet, that your grandparents still make love."
Ron Swanson,Ready to go?
Leslie Knope,Yes.
Leslie Knope,"Your keys, please."
Ron Swanson,You gotta be kidding me.
Ron Swanson,I'm fine.
Leslie Knope,"Well, we'll let the chart be the judge of that."
Leslie Knope,"What are you, 5'11"", 210 pounds, three whiskeys?"
Leslie Knope,Looks like you are just over the line into impaired.
Ron Swanson,You carry that with you all the time?
Leslie Knope,It comes in handy.
Leslie Knope,"And on the back, it teaches you how to play blackjack."
Ron Swanson,Swansons have a preternaturally high tolerance for alcohol.
Ron Swanson,My old man used to put Wild Turkey on his Corn Flakes.
Leslie Knope,"I'm not gonna argue with you, Ron."
Leslie Knope,"We're just gonna sit and wait until, you know, you're safe to drive, which would be in about one hour."
Leslie Knope,"""Insurance is a side bet when you wager half of your original bet because you believe the dealer has a 10 in the hole."""
Ron Swanson,"Get off my car, woman!"
Leslie Knope,Twenty minutes.
Leslie Knope,The dealer really has an advantage.
Leslie Knope,That's what I get the most from this.
Leslie Knope,"Hey, Ron."
Ron Swanson,"Morning, Leslie."
Ron Swanson,Did you have a good night?
Leslie Knope,I did.
Leslie Knope,I watched a really good--
Leslie Knope,What is that?
Ron Swanson,This is what I did last night.
Ron Swanson,"After I got home, I drank six more glasses of whiskey and then I finished crafting this small harp, using a band saw, a spokeshave and an oscillating spindle sander."
Leslie Knope,Beautiful.
Ron Swanson,"But wait, there's more."
Ron Swanson,Here are some photographs of me drinking the whiskey.
Ron Swanson,"You'll notice I'm holding up yesterday's newspaper, so you can tell that I'm not lying."
Leslie Knope,I feel like I'm in a spa.
Mark Brendanawicz,"So, I got my truck all cleaned out and ready to go for tomorrow."
Mark Brendanawicz,"Do you have, like, furniture pads and dollies?"
Mark Brendanawicz,That sort of thing?
Tom Haverford,"Ooh, I thought the mover supplied those."
Mark Brendanawicz,I'm not a mover!
Mark Brendanawicz,I'm a sap who owns a truck.
Tom Haverford,Don't talk about yourself like that.
Tom Haverford,And bring some coffee.
Leslie Knope,"Hey, are you moving out?"
Leslie Knope,Have you told Wendy how you feel yet?
Tom Haverford,Waiting for the right time.
Leslie Knope,It's right now.
Leslie Knope,The time is now.
Tom Haverford,Just don't worry about it.
Tom Haverford,I'm fine.
Leslie Knope,Hmm.
Tom Haverford,What's that over there?
Jerry Gergich,Mmm!
Donna Meagle,Holy cow.
Jerry Gergich,Wow.
Donna Meagle,That is good stuff.
Leslie Knope,"Great, right?"
April Ludgate,"Oh, my God."
April Ludgate,They're amazing.
Jerry Gergich,They're more than amazing.
Jerry Gergich,They are terrific.
April Ludgate,"Terrific's not more than amazing, Jerry."
Jerry Gergich,No?
Jerry Gergich,"Well, it's not less."
Donna Meagle,Everything Sweetums makes is off the charts.
Donna Meagle,I like their candy fingernails.
Tom Haverford,I can't believe these things are healthy.
Andy Dwyer,It's not that crazy.
Andy Dwyer,"Krackel bars, also healthy and delicious."
Donna Meagle,"No, they're not."
Andy Dwyer,Yeah.
Andy Dwyer,They actually have rice in them.
Andy Dwyer,Soâ¦
Donna Meagle,"Andy, you're fine, but you're simple."
Ann Perkins,Who just put 100 of these in their body?
Leslie Knope,Ann!
Leslie Knope,Oh!
Leslie Knope,Look at you!
Leslie Knope,You're looking pretty unhealthy today.
Leslie Knope,"You might need one of these, NutriYum, by Sweetums."
Leslie Knope,"If you can't beat them, Sweetums!"
Tom Haverford,I love that song.
Ann Perkins,Ow!
Tom Haverford,I need to go check my email.
Leslie Knope,We're gonna sell these in the park now.
Jerry Gergich,They're healthy!
Ann Perkins,Holy God.
Ann Perkins,"No, they're not, they're terrible for you."
Leslie Knope,"No, they're not."
Leslie Knope,There's a picture of Lance Armstrong on there.
Ann Perkins,"Yeah, but look at the ingredients."
Ann Perkins,"""High fructose corn syrup, corn syrup."""
Leslie Knope,There's only eight grams of fat.
Ann Perkins,Yeah.
Ann Perkins,Per serving.
Ann Perkins,A bar is four servings.
Leslie Knope,"Well, people seem to enjoy them."
Leslie Knope,Look how happy everybody is.
Ann Perkins,"Yeah, that's a sugar rush."
Leslie Knope,Yeah.
Ann Perkins,Yeah.
Leslie Knope,That makes sense.
Ann Perkins,"They're gonna crash soon, and it's not gonna be pretty."
Leslie Knope,"Yeah, I'm gonna crash soon, too."
Leslie Knope,"'Cause I've eaten, like, 40 of these."
Ann Perkins,"Oh, God!"
Ann Perkins,"Generally, I like to stay out of other people's business."
Ann Perkins,But Pawnee is the fourth most obese city in America.
Ann Perkins,The kids here are beefy.
Ann Perkins,"They're just husky, big boned, plus-sized chunk monsters."
Ann Perkins,I call them like I see them.
Ann Perkins,Leslie?
Leslie Knope,Yeah?
Ann Perkins,"Let's get some almonds in you, okay?"
Leslie Knope,Okay.
Ann Perkins,Get it.
Leslie Knope,I can't open them.
Leslie Knope,Back to work.
Leslie Knope,I hate it here.
Leslie Knope,This place is evil.
Ann Perkins,"I think these are the only two films that say ""Sweetums"" on the label."
Leslie Knope,"Yeah, well, let's take them both."
Leslie Knope,We might find something interesting.
Leslie Knope,"Here, just let me stick them under my shirt."
Ann Perkins,No.
Leslie Knope,Just walk out.
Ann Perkins,They have sensors!
Ann Perkins,Just check them out.
Ann Perkins,It's free.
Leslie Knope,"Hey, Marci."
Marci,Leslie.
Marci,Are they finally teaching you Parks people how to read?
Marci,"Oh, I guess not."
Marci,It's a movie.
Leslie Knope,You're pretty cocky for someone whose job is obsolete because of the Internet.
Marci,Let's see.
Marci,Hmm.
Marci,You seem to have a 40 dollars late fee on a book called Mysteries of the Female Orgasm.
Leslie Knope,"No, I don't."
Marci,"Yeah, you do."
Leslie Knope,"Ann, grab the movie!"
Leslie Knope,"Go, go, go, go!"
Leslie Knope,Punkass book jockeys!
Paul,"So, you guys all good with the Sweetums concession stand deal?"
Paul,I can go ahead and sign off on it?
Ron Swanson,You betcha.
Leslie Knope,"Actually, no."
Leslie Knope,No.
Leslie Knope,We are worried that the energy bars that they're gonna sell are grossly unhealthy and they're misleading people about what's actually in them.
Ron Swanson,"No, we're not worried about that."
Ron Swanson,We're fine and we sign off.
Leslie Knope,"Paul, can I have a sidebar with Ron?"
Paul,I guess.
Leslie Knope,"Sidebar, Ron."
Leslie Knope,"I did some research, and NutriYums are terrible for you."
Ron Swanson,I don't care.
Ron Swanson,We're doing it.
Leslie Knope,That's a-- We're in a sidebar.
Leslie Knope,Do you not care about your city's health?
Ron Swanson,I care about the people's right to consume whatever they want.
Leslie Knope,"Paul, can you and I have a sidebar?"
Paul,No.
Leslie Knope,Okay.
Leslie Knope,I think maybe we should hold a public forum.
Leslie Knope,That way we won't be liable.
Ron Swanson,There's no point.
Ron Swanson,It's a home run for the city.
Paul,"No, I think she's right."
Paul,"It's a good ""cover our ass"" move."
Paul,Let's do it.
Ron Swanson,Paul!
Ron Swanson,"Leslie, why must you stick your nose into everyone else's business?"
Leslie Knope,"Sidebar, Paul."
Leslie Knope,Ron's upset because I didn't let him drive last night.
Ron Swanson,Stop sidebarring.
Leslie Knope,Somebody's grouchy.
Mark Brendanawicz,You said it was just odds and ends.
Tom Haverford,"It is, yeah."
Tom Haverford,And some furniture.
Tom Haverford,And the plasma TV.
Mark Brendanawicz,You haven't even folded up the boxes yet.
Andy Dwyer,"Dude, Deep Blue Sea."
Andy Dwyer,Greatest movie ever made.
Tom Haverford,"That's the Canadian version, and there's a bonus audio track where LL Cool J raps all his dialog."
Andy Dwyer,What?
Andy Dwyer,We're watching this right now.
April Ludgate,Yes!
Tom Haverford,Pop it in!
Mark Brendanawicz,"No, no, no!"
Mark Brendanawicz,We should really pack this room up and get moving.
Tom Haverford,"So, this is a really big room I need packed up, guys."
Mark Brendanawicz,This is your bedroom?
Tom Haverford,"No, it's a spare room I converted into a walk-in closet/ home fitness center."
Mark Brendanawicz,What is that?
Tom Haverford,Oh.
Tom Haverford,I strapped an MP3 player to one of those floor cleaning robots.
Tom Haverford,"I call him ""DJ Roomba."""
Tom Haverford,Little guy cruises around and plays music.
Tom Haverford,"What's hot, DJ Roomba?"
Tom Haverford,"DJ Roomba, tearing it up!"
