Character,Line
Andy Dwyer,Ron!
Ron Swanson,"Hello, Andy."
Andy Dwyer,It's quiet in here.
Andy Dwyer,Where is everyone?
Ron Swanson,The government is shut down.
Ron Swanson,It's in every newspaper.
Andy Dwyer,How long is it going to last?
Ron Swanson,"Well, if we're lucky, this building will be empty for months."
Andy Dwyer,Wow.
Andy Dwyer,That is really bad timing.
Andy Dwyer,I just got this super sweet-ass rad crotch rocket.
Andy Dwyer,I've always wanted one of these.
Andy Dwyer,"But due to, you know, never having a job, I couldn't afford it until now."
Andy Dwyer,Got a really good deal on my lease.
Andy Dwyer,Paying 12% interest.
Andy Dwyer,"It's, like, one of the highest you can get."
Andy Dwyer,"Hey, so I've been trying like crazy to get a hold of April."
Andy Dwyer,"If you see her, will you tell her I really need to talk to her?"
Ron Swanson,You got it.
Andy Dwyer,All right.
Andy Dwyer,"Thanks, Ron."
Andy Dwyer,Uh-oh!
Andy Dwyer,Nailed it.
Leslie Knope,All I can tell you is that all the parks are closed until further notice.
Leslie Knope,"Look, no one is more upset about this than I am."
Leslie Knope,Not like it's a competition or anything.
Leslie Knope,"Because if it was, I would win."
Leslie Knope,But that's neither here nor there.
Leslie Knope,The point is I would win.
Extra,How long will they be closed?
Ron Swanson,Could be forever.
Extra,"With the government shut down, who is going to stop Al Qaeda?"
Leslie Knope,One thing at a time.
Extra,School is out in two weeks.
Extra,What am I going to do with my kids all day?
Extra,Keep them in my house?
Extra,Where I live?
Leslie Knope,I don't know what to tell you.
Extra,What about the kids' concert tomorrow at Ramsett Park?
Extra,The Freddy Spaghetti concert.
Leslie Knope,Freddy Spaghetti has been canceled.
Leslie Knope,"Well, I hope you're happy."
Ron Swanson,I am. I am extremely happy because I don't think we should be wasting taxpayer money.
Leslie Knope,It's not a waste to provide fun for kids.
Leslie Knope,And I for one do not like having Freddy Spaghetti's blood on my hands.
Ron Swanson,I believe you mean Freddy Spaghetti's sauce.
Ron Swanson,I burned my tongue. Don't even care.
Chris Traeger,You see this color? I don't like it. It's too depressing.
Leslie Knope,"Hi, Chris."
Chris Traeger,Leslie Knope. One second. I'd like some water.
Chris Traeger,"I'd like it to be cold, I'd like it without ice, I'd like it in a glass or a mug with no handle."
Chris Traeger,How can I help you?
Leslie Knope,"Well, I believe there has been a casualty of war in this government shutdown, and it saddens me."
Leslie Knope,And it is Pawnee's children.
Chris Traeger,"Well, sit down and tell me exactly what has happened."
Leslie Knope,"Every year, we kick off the summer with a children's concert series."
Leslie Knope,"And this year, the concert has been canceled due to the shutdown."
Chris Traeger,"It's terrible, and we need to fix it."
Leslie Knope,All right.
Leslie Knope,Great.
Leslie Knope,"I'm very glad that you agree with me, but I actually worked really hard on my argument."
Leslie Knope,Is there any way I can still kind of... Yeah?
Chris Traeger,I'd love to hear it.
Leslie Knope,"Oh, good."
Leslie Knope,Thank you.
Leslie Knope,You're wrong.
Leslie Knope,Are you crazy?
Leslie Knope,Can you put a price tag on a child's smile?
Ben Wyatt,Leslie Knope.
Ben Wyatt,What a surprise.
Ben Wyatt,"The government has been shut for two days, and one city employee has tried to schedule 14 meetings with me."
Ben Wyatt,Can you guess who?
Chris Traeger,Ben?
Chris Traeger,There was a big concert.
Chris Traeger,"Now, there's not."
