Character,Line
Paula Horke,"Well it's a pleasure to be here, ladies."
Paula Horke,I didn't think anybody really cared about my time on the city council.
Leslie Knope,"Oh, we do."
Leslie Knope,"I mean, you are such an inspiration."
Leslie Knope,Still going strong at 82.
April Ludgate,How old is that handkerchief?
Paula Horke,"Well, it's not a handkerchief."
Paula Horke,It's a receipt.
Leslie Knope,Paula Horke was Pawnee's first female city councilor a huge inspiration to me.
Leslie Knope,"Women have come a long way in Pawnee, but we still have quite a ways to go."
Leslie Knope,"I mean, technically, I'm not allowed to reserve this conference room without my husband or father's signature."
Paula Horke,Government was a real boys' club back in the '70s.
Paula Horke,"They smoked their cigars, they snapped my bra, wore mirrors on their shoes to look up my skirt."
Leslie Knope,"Well, I am happy to report that it is now a pervert free people's club."
Ann Perkins,"Well, except for Councilman Dexhart, who's a selfdescribed pervert."
Donna Meagle,"Yeah, and didn't Milton try to kiss you?"
Leslie Knope,"Well, yeah, things aren't perfect."
Paula Horke,All the other councilmen used to keep a calendar of my menstrual cycle.
Leslie Knope,Are you kidding me?
Leslie Knope,That is horrible.
Leslie Knope,They don't do that to me.
Leslie Knope,Do they do that to me?
Paula Horke,"I once tried to start a commission to try to get more jobs for women in city government, and they dismissed me, saying that it was because it was just my time of the month."
Paula Horke,"Admittedly, they were right."
Paula Horke,Because of the calendar.
Leslie Knope,Man pigs.
Leslie Knope,All of them.
Leslie Knope,"You know what, I'm gonna get that commission going, because this inequality has gone on long enough."
April Ludgate,"You know what, I think men are better than women."
Leslie Knope,She's kidding.
April Ludgate,"No, I'm not."
April Ludgate,"They provide for us, and we must obey them because they are our masters."
Leslie Knope,"April, stop it."
April Ludgate,"Leslie, you'll never land a beau with that domineering tone."
April Ludgate,We must always walk behind the men.
Leslie Knope,She ugh.
Zoe Lewis,Moustache!
Ivy Lewis,Dumb dumb!
Zoe Lewis,Moustache!
Ivy Lewis,Dumb dumb!
Ron Swanson,Hello.
Ann Perkins,I just came to drop off some of the employee What is happening?
Ron Swanson,"The girls are on break, and their sitter had to go out of town for the day, so I'm watching them while Diane works."
Ron Swanson,I borrowed some markers from Leslie and some stickers from Leslie and a LiteBrite which I got from Andy.
Ron Swanson,"Girls, this is Ann."
Ron Swanson,Talk to Ann.
Ron Swanson,She's terrific.
Ann Perkins,"Hey, dudettes."
Ann Perkins,You stoked about the weekend?
Ann Perkins,No.
Ann Perkins,"Oh, look at this pwetty, pwetty wittle beads."
Ann Perkins,They're not infants.
Ann Perkins,I don't know.
Ann Perkins,I'm weird with kids.
Ann Perkins,So you guys like Coldplay?
Zoe Lewis,You're weird.
Jerry Gergich,"You're Well, hey, girls."
Ivy Lewis,No.
Jerry Gergich,Okay.
Jerry Gergich,Thanks.
Chris Traeger,An equal gender employment commission.
Chris Traeger,"Leslie, I don't think this is a good idea."
Chris Traeger,I think it's a fantastic idea.
Leslie Knope,Oh.
Leslie Knope,I didn't know where you were going with that.
Chris Traeger,The lack of women in this government is criminal.
Chris Traeger,I'm gonna ask each department to send two people to a meeting today.
Leslie Knope,Yeah!
Chris Traeger,And!
Chris Traeger,Andand I can ask Shauna MalwaeTweep to write an article about it for the Pawnee Journal.
Chris Traeger,She's my special friend.
Leslie Knope,That's what you're calling her now.
Chris Traeger,I don't know what to call her.
Chris Traeger,I don't entirely understand the behavior of young people.
Chris Traeger,"Recently, we engaged in something called a ""group hang."""
Chris Traeger,"It was like a date, but there were seven other people there."
Chris Traeger,It was very confusing.
Chris Traeger,I'm not really sure what our label is.
Chris Traeger,"Labels can be bad, but they can also be good."
Chris Traeger,"""Warning: Toxic bleach"" is a good label."
Chris Traeger,Shauna MalwaeTweep has amazing dimples.
Leslie Knope,So the commission?
Chris Traeger,"Yes, right, the commission."
Chris Traeger,I'm gonna get that going right now.
Leslie Knope,Great.
Ben Wyatt,"Okay, I know this text you sent me was a lie and Michael Stipe is not actually here, correct?"
Tom Haverford,Correct.
Tom Haverford,That was a lie.
Ben Wyatt,"Yeah, no, I knew it was."
Ben Wyatt,I just couldn't live with myself if it had been true.
Tom Haverford,And that's why I sent it.
Andy Dwyer,Where's free Skittles?
Tom Haverford,"Here you go, buddy."
Ben Wyatt,Aw!
Ben Wyatt,He gets his thing?
Tom Haverford,"Listen, I need you two to teach me everything you know about basketball."
Tom Haverford,RentASwag is doing really well.
Tom Haverford,I'm on track to turn a profit in my third month.
Tom Haverford,One problem: All the kids that shop in the store are basketball crazy.
Tom Haverford,It's all they talk about.
Tom Haverford,"I need to be able to schmooze them, and I can't keep referring to basketball players as ""Khloe Kardashian's husband and his friends."""
Tom Haverford,You're just the men to help me out.
Tom Haverford,"One jock, one geek who loves stats."
Tom Haverford,I'll give you a few minutes to cancel the rest of your plans for the day.
Andy Dwyer,No need.
Andy Dwyer,My only plan was to buy Skittles.
April Ludgate,"Wow, Chris."
April Ludgate,Your gender equality commission is a real sausage fest.
Leslie Knope,"Oh, my God."
Leslie Knope,You're kidding me.
Chris Traeger,I just assumed that some of the departments would send women.
Chris Traeger,"Oh, my God."
Chris Traeger,I am part of the problem.
Leslie Knope,"Excuse me, everyone."
Leslie Knope,Did anyone notice that there are no women on the Gender Equality Commission?
Councilman Milton,"Oh, there's a lady right next to you."
Councilman Milton,"Oh, wait, no."
Councilman Milton,It's just a very beautiful man.
Leslie Knope,"Yes, okay, we are gonna need to rebalance this commission."
Councilman Milton,"Listen, you did a great job setting it up and getting the snacks ready, but we'll take it from here."
Leslie Knope,"Well, Councilman Milton, I did put the snacks together, and they are delicious, I must say, but that is not the point."
Councilman Milton,Round of applause for the girl.
Councilman Milton,She has to leave to get more snacks.
Leslie Knope,"No, I don't!"
Leslie Knope,This is my commission!
Councilman Milton,Ouch.
Councilman Milton,Why so ornery?
Councilman Milton,It's not the 7th yet.
Ron Swanson,Hm.
Ivy Lewis,Your shoes are red now.
Zoe Lewis,Yay.
Ron Swanson,Hooray.
Diane Lewis,Hey!
Ivy Lewis,Mommy!
Diane Lewis,"You survived, huh?"
Ron Swanson,"Indeed, I did."
Diane Lewis,How were they?
Diane Lewis,Really?
Ron Swanson,Couldn't have been better.
Ron Swanson,We had a wonderful time.
Diane Lewis,"Well, that's good."
Diane Lewis,"'Cause my sitter's still out of town, so I really hate to ask you this, but is there any way you could take them again tomorrow?"
Ron Swanson,Of course.
Ron Swanson,I'd be delighted.
Diane Lewis,You're a lifesaver.
Diane Lewis,Thank you.
Diane Lewis,"Girls, you wanna spend another day with Ron?"
Zoe Lewis,Yeah!
Councilman Milton,I believe one problem with hiring women is that they're frail and breakable.
Leslie Knope,Is it possible you're thinking about light bulbs?
Leslie Knope,Or your hip?
April Ludgate,Mm.
April Ludgate,"If I were 300 years older, Councilman."
