Character,Line
Extra,"Support for Pawnee Community Radio comes from listeners like you and from the new film The Shadows of Seven Heads, the dramic tale of an Israeli soldier who falls in love with conjoined Palestinian sextuplets."
Extra,Out soon from Focus Features.
Derry Murbles,"Welcome to ""Thought For Your Thoughts."""
Derry Murbles,"I'm your host Derry Murbles, sitting in for Nina Joplin, who is touring the country performing a spokenword opera about pearshaped women."
Derry Murbles,My guest today is City Councilwoman Leslie Knope.
Leslie Knope,"It is a pleasure to be back, Derry."
Leslie Knope,Your show last week on dolphin lactation was just riveting radio.
Leslie Knope,"Derry, my team and I are trying to build a park, and we need input on the design from you, the citizens of Pawnee."
Leslie Knope,So I guess I'm here to send out the Bat Signal.
Derry Murbles,"A Bat Signal, for listeners who might not know, refers to the children's character ""the Bat Man"" a strong gentleman who fights crime nocturnally."
Leslie Knope,That's correct.
Leslie Knope,Well put.
Leslie Knope,This park is going to be a celebration of Pawnee by Pawnee and for Pawnee.
Leslie Knope,"So, you know, send in your plan or your resume And quick."
Leslie Knope,Please.
Leslie Knope,Hurry.
Leslie Knope,This is all gonna fall apart if you don't hurry.
Derry Murbles,"Coming up after the break, movie reviews with Ken Tucker who is filling in for David Bianculli who's in New York filling in for Ken Tucker."
Derry Murbles,"Leslie, would you like to introduce the next segment?"
Leslie Knope,Okay.
Leslie Knope,"""Now it's time for 'Jazz Plus Jazz Equals Jazz, ' ""today we have a recording of Benny Goodman played over a separate recording of Miles Davis."""
Derry Murbles,Research shows that our listeners love jazz.
Leslie Knope,"All right, so this is a letter from what looks like a federal penitentiary."
Leslie Knope,"""Here's a model of what I thought the park could look like."
Leslie Knope,"Also, I'm innocent."
Leslie Knope,"Please find me a lawyer."""
Leslie Knope,I'm getting kind of worried.
Leslie Knope,"I mean, we have not received one usable idea so far."
Ben Wyatt,Hang on.
Ben Wyatt,Look at this guy.
Ben Wyatt,"""30 years of experience ""with a degree in architecture from the Royal Danish Academy of Fine Arts in Copenhagen."""
Leslie Knope,Wow!
Leslie Knope,Beautiful fountain.
Leslie Knope,Perfectly manicured shrubbery.
Leslie Knope,This is like Parks Department porn.
Leslie Knope,This guy is great.
Leslie Knope,I don't care if he's some junkie war criminal pimp.
Leslie Knope,I am not gonna change my mind.
Ben Wyatt,His name's Wreston St. James.
Ben Wyatt,He's from Eagleton.
Leslie Knope,"Oh, I've changed my mind."
Leslie Knope,"I'm not being melodramatic when I say that people from Eagleton are snobby and evil, and they look down on Pawnee, and they would most likely exterminate everyone who isn't from Eagleton if they weren't so busy being obsessed with themselves."
Leslie Knope,"God, that was close."
