Character,Line
Joe,"We're going to have orchids on the all the pews, right?"
Joe,"Because orchids are Donna's favorite flowers, and she's my favorite flower."
Donna Meagle,We're real cute.
Craig Middlebrooks,"Well, of course, there are going to be orchids."
Craig Middlebrooks,You think this is my first time working a side job as a wedding planner for a former coworker?
Joe,No?
Craig Middlebrooks,I'm so sorry.
Craig Middlebrooks,"I mostly have my rage problem under control, but planning is very stressful."
Craig Middlebrooks,"Please, avoid my trigger words, flowers, schedule, vows, bride, groom, food, love, happy, church, event, wedding, and Craig."
Joe,"I'm so sorry, Craig."
Joe,I'm sorry.
Joe,I'm sorry.
Donna Meagle,"April, walk with me."
Donna Meagle,So I chose you as my maid of honor because you've become one of my best friends.
Donna Meagle,And I love you like a sister.
April Ludgate,Ew.
Donna Meagle,"But also, because you're tough."
Donna Meagle,My family arrives tonight.
April Ludgate,I know.
April Ludgate,And they're all set with their welcome bags.
April Ludgate,"And I told your brother, LeVondrious, that he is not welcome."
Donna Meagle,"Good, but still, there's going to be 28 Meagles in one room, which means there's gonna be drama."
April Ludgate,I will handle everything.
April Ludgate,I actually care whether you're having a good time and are happy.
April Ludgate,It's weird.
Donna Meagle,The Meagles are a coldblooded crew of judgmental grudgeholders.
Donna Meagle,"My cousin Winnie once forgot to use a coaster at my grandpa's house, and he wrote her out of his will."
Donna Meagle,The last four Meagle family Pictionary tournaments ended at the hospital.
Donna Meagle,"Legally, no more than three Meagles are allowed on an international flight together."
Donna Meagle,But they give great gifts.
Donna Meagle,Got to get that flatware.
Lucy,"Tommy, I was at the nail salon and I picked up some geranium hand cream."
Lucy,Do you want to try it?
Tom Haverford,"Uh, yes."
Tom Haverford,"Warm it up, please."
Tom Haverford,Ooh!
Tom Haverford,That smells nice.
Lucy,"I'm just gonna go and make sure everything is set for tonight, okay?"
Tom Haverford,"All right, see you later."
Lucy,"See you, Ron."
Ron Swanson,I've always liked that Lucy.
Ron Swanson,Glad things are going well.
Tom Haverford,Better than well.
Tom Haverford,And guess what I have planned for tonight.
Ron Swanson,No.
Tom Haverford,"As Donna's butler of honor, I'm going all out."
Tom Haverford,Baby blue brocade.
Tom Haverford,"As a surprise, I got a matching dress for Lucy."
Ron Swanson,And you believe Lucy will be happy with this gift?
Tom Haverford,"A hundred percent, we're so in sync."
Tom Haverford,I finally feel like I'm with the person I'm going to be with forever.
Tom Haverford,I'd marry her tomorrow.
Ron Swanson,"Bully for you, son."
Ron Swanson,"More importantly, do you have tri-tip for tonight?"
Ron Swanson,"Because if not, I brought my own."
Ron Swanson,I love weddings.
Ron Swanson,"Good food, the celebration of romantic love, and most of all, churches."
Ron Swanson,"Say what you will about organized religion, those bastards knew how to construct an edifice."
Leslie Knope,"Okay, monsters."
Leslie Knope,Mommy and Daddy have to pack because we're going to a hotel.
Leslie Knope,But Roz is going to stay here with you.
Roz,"Yeah, and we are going to have so much fun, we're going to play games, we're going to color, maybe we're going to even sit quietly for 30 seconds."
Roz,Do you think I could have 30 seconds?
Roz,That's all--
Leslie Knope,She's fading.
Leslie Knope,"Roz, Roz."
Leslie Knope,Hey.
Leslie Knope,Hey.
Leslie Knope,You are a wonderful nanny.
Roz,Oh.
Leslie Knope,You're tough and strong.
Leslie Knope,And you're an excellent caretaker for our children.
Ben Wyatt,"Yeah, every time you come to our house, we are so happy to see you."
Leslie Knope,I love you more than Ben.
Leslie Knope,I do.
Leslie Knope,"If Ben left me, I would be sad but I would get through it."
Leslie Knope,But if you left me I would never recover.
Roz,Thanks.
Roz,That helps.
Ben Wyatt,"I'm so used to packing for them, I almost put in diapers for myself."
Extra,"Incoming call, Jen Barkley."
Leslie Knope,Jen Barkley is calling again.
Leslie Knope,She's relentless.
Ben Wyatt,Jen is a powerful political operative.
Ben Wyatt,Don't you even want to know what she has to say?
Leslie Knope,"She'll just say what she always says, which is, ""Leslie, would you consider running for state Senate or Congress?"""
Leslie Knope,"And I'll say, ""Jen, thank you very much, that's very flattering but I love my job and I get to do it for the entire country."""
Leslie Knope,The whole world is my park.
Leslie Knope,"Besides, our lives are so chaotic, we can't run a campaign."
Ben Wyatt,"Well, if you really wanted to do it, we'd find a way."
Ben Wyatt,"I mean, things aren't that chaotic."
Roz,All three of them just bonked into each other and broke everything you own.
Roz,I don't know what that was.
Gayle Gergich,Oh!
Gayle Gergich,Would you look at that?
Gayle Gergich,"Sweetie, I think your best friend, Tom, is giving his lady friend a gift."
Jerry Gergich,You know Gayle gives me a gift each and every day.
Gayle Gergich,"Oh, I've got the greatest gift of all."
Gayle Gergich,Being married to you.
Jerry Gergich,Oh!
Jerry Gergich,Sweetie!
Ron Swanson,"Control yourselves, Gergiches!"
Lucy,"Damn, Tommy, well done!"
Tom Haverford,I knew you'd like it.
Tom Haverford,"Get changed, baby."
Tom Haverford,We've got to dominate this party.
Lucy,"What do you think, Ron?"
Lucy,Tommy's the man.
Ron Swanson,I normally don't get involved in people's personal affairs but something about a wedding... I'll just say it.
Ron Swanson,Tom is quite taken with you.
Lucy,"He's taken with me, huh?"
Ron Swanson,Yes!
Ron Swanson,"He said he'd ""marry you tomorrow."""
Ben Wyatt,Seems silly to stay at a hotel that's 10 minutes from our house.
Leslie Knope,"It's been three years, we deserve one night away together."
Leslie Knope,A little down time.
Leslie Knope,A little privacy.
Leslie Knope,Maybe we make some more kids?
Ben Wyatt,Don't even joke about that.
Leslie Knope,"Let's just make, like, three more so that each one of them can have a friend."
Leslie Knope,Jen?
Leslie Knope,What are you doing here?
Jennifer Barkley,You idiots won't answer my calls and what I have to tell you cannot wait.
