Character,Line
Leslie Knope,"Okay, open this one. Here, I'll help you."
April Ludgate,Whoa! Documents.
Leslie Knope,"Yes. This is your original intern application, your original parking pass. This is your original photo ID."
April Ludgate,Did you get that out of my purse?
Leslie Knope,Doesn't matter.
Leslie Knope,And this is a copy of your very first paycheck.
Tom Haverford,Who's that from?
Leslie Knope,Me. It's from me.
Leslie Knope,Happy birthday.
April Ludgate,"Thank you, Leslie."
Ron Swanson,Open mine.
Leslie Knope,"It is, it's nice. I mean it can be a little sentimental to kind of frame things, but its always nice to remember the beginning of something, you know, the start. And when you--"
April Ludgate,Ah!
Leslie Knope,"Ron, for God's sake."
Ron Swanson,She's an adult now.
Ron Swanson,She should know how to responsibly handle and discharge a weapon.
Ron Swanson,"That there is a Sig Sauer .22 caliber Mosquito, manufactured in Switzerland for their pussy police force."
Ron Swanson,"This two toned, lightweight model is perfect for a skinny, little thing like you."
April Ludgate,"Gee, thanks Ron."
Ron Swanson,"I will hold onto this for you until we get you licensed up, and then I'll take you for some target practice."
April Ludgate,Goody.
Ron Swanson,"Yeah, I do feel a little guilty."
Ron Swanson,I'm re-gifting.
Andy Dwyer,"Oh, that's great."
Andy Dwyer,I'd love to hear all about your family vacation.
April Ludgate,Hey.
Andy Dwyer,"Oh, thank God."
Andy Dwyer,"Get out, Kyle."
Andy Dwyer,"Hello, birthday girl."
Andy Dwyer,Got you a birthday present.
Andy Dwyer,Did you like that?
April Ludgate,Yes.
Andy Dwyer,That high five was your birthday present.
Andy Dwyer,Just kidding.
Andy Dwyer,That wasn't it.
Andy Dwyer,I got you something else.
Andy Dwyer,I wrote you a song.
April Ludgate,Really?
Andy Dwyer,Yeah.
April Ludgate,What's it called?
Andy Dwyer,Not telling.
Andy Dwyer,But I'll give you a clue.
Andy Dwyer,It's named after a month out of the year.
April Ludgate,So April?
Andy Dwyer,No.
Andy Dwyer,That would have been way better.
Andy Dwyer,Whatever.
Andy Dwyer,I can rewrite the lyrics.
April Ludgate,Are you coming to my party?
Andy Dwyer,"Yeah, I wouldn't miss it for the world."
Andy Dwyer,Are you kidding me?
April Ludgate,"Okay, cool."
Andy Dwyer,Okay.
April Ludgate,"Well, we'll hang out then."
Andy Dwyer,Okay.
April Ludgate,It's going to be fun.
April Ludgate,"Yes, I am 21 years old today."
April Ludgate,Which is the age that pretty much everyone agrees makes you an adult.
Leslie Knope,"In the words of the great 19th century outdoorsman Jack London, you can't wait for inspiration. You have to go after it with a club."
Leslie Knope,"With those words ringing in our ears, we proudly present our plans for a new park on municipal lot 48."
Ann Perkins,That's good!
Leslie Knope,I know.
Leslie Knope,The yearly budget and planning proposal for a city is called the Master Plan.
Leslie Knope,Isn't that just so awesome you can't stand it?
Leslie Knope,"It's mostly filled with boring, bureaucratic language, so I try to spice it up a little."
Leslie Knope,"So I say the function of man is to live, not to exist. I would rather that my spark should burn out in brilliant blaze than it should be stifled by dry rot."
Ann Perkins,You wrote that?
Leslie Knope,"Jack London, again."
Leslie Knope,Is there too many Jack London quotes?
Ann Perkins,"No, no."
Leslie Knope,"Yeah, I mean, you can never have enough."
Ann Perkins,That is easily the most exciting budget proposal I have ever heard.
Leslie Knope,"Well, I'm presenting it today."
Leslie Knope,"And if it flies, we are going to get our money to build a park."
Leslie Knope,"I mean, it only took us 15 months to do this."
Ann Perkins,I can't believe it.
Leslie Knope,"Would've taken 13 months if you had agreed to work on weekends, but still, it's great."
Ann Perkins,It's amazing.
Leslie Knope,"Well, the meeting's at 10:00, come over to my office for champagne after."
Ann Perkins,I don't think I should do that.
Leslie Knope,"Oh right, Mark. Oh, awkward."
Ann Perkins,I ended things with Mark a couple of days ago.
Ann Perkins,"And, I'm not gonna talk about it."
Tom Haverford,"Ladies and gentlemen, this is your final warning."
Tom Haverford,Do not miss tonight's April Ludgate birthday bash.
Tom Haverford,"9:00 P.M. at the world famous Snakehole Lounge, the place that the Pawnee Jounal has called the sexiest, most dangerous club in town."
Leslie Knope,That's not what they wrote.
Tom Haverford,"Fine, I added the world ""sexiest,"" but we've hired better security."
Tom Haverford,"Yes, I am a good friend for throwing the party."
Tom Haverford,"I'm also a genius, because I'm using the occasion to stock the club with every available hottie I know."
Tom Haverford,"Call me a romantic, but I believe by the end of the night, I will have between one and four new girlfriends."
Leslie Knope,"Oh, I can't believe our little girl's all grown up."
Leslie Knope,"Oh, damn the wheel of the world."
Leslie Knope,Why must it continually turn over?
Ron Swanson,Jack London.
Leslie Knope,Yeah.
Ron Swanson,Nice.
Leslie Knope,"Okay, let's go boss. We have a meeting to go to."
Ron Swanson,Yay.
Ron Swanson,"Once a year, every branch of this government meets in a room and announces what they intend to waste taxpayer money on."
Ron Swanson,"For a libertarian such as myself, it's philosophically horrifying. They also really cheap out on snacks."
Ron Swanson,Hydrax cookies? Did you know there was a off-brand Hydrox? I did not. They're not bad.
Paul,"Good morning, everybody."
