Character,Line
Ron Swanson,April!
Ron Swanson,"Listen, I was trying to buy this handcrafted mahogany wood model of a B25 Mitchell Panchito aircraft."
April Ludgate,"Aw, for me?"
Ron Swanson,Don't sass me.
Ron Swanson,"And I went to this website, and this ad popped up that said ""Hey, Ron Swanson!"""
Ron Swanson,"""Check out this great offer."""
April Ludgate,What's your question?
Ron Swanson,"My question is, what the hell?"
April Ludgate,"Like, how did they know who you are?"
Ron Swanson,Yeah.
April Ludgate,Okay.
April Ludgate,"Um, there are these things called cookies, where, like you go to a site and buy something, it'll remember you and then create ads for other stuff you might want to buy."
Ron Swanson,So it learns information?
Ron Swanson,About me?
Ron Swanson,That seems like an invasion of privacy.
April Ludgate,"Dude, if you think that's bad, go to Google Earth and type in your address."
Leslie Knope,"The point is, Ben and I have been dating on and off for about a year."
Chris Traeger,"I am, of course, shocked And not just because Ben usually prefers tall brunettes."
Ben Wyatt,We're very sorry for the position this puts you in.
Leslie Knope,What's happening?
Leslie Knope,"Are you hugging me, or are we fighting?"
Leslie Knope,Are you hugging or fighting?
Leslie Knope,Let me know.
Chris Traeger,Neither of those things.
Chris Traeger,I love both of you.
Chris Traeger,You are exemplary government employees.
Leslie Knope,"""Exemplary""?"
Leslie Knope,That's the word we were thinking of.
Chris Traeger,"Well, it's true."
Leslie Knope,Isn't it?
Chris Traeger,Which makes what I'm about to say even sadder.
Leslie Knope,Then don't say it.
Chris Traeger,I'm launching a full investigation into the extent of your wrongdoing.
Chris Traeger,Please report Monday first thing to the council chambers for your ethics trial and subsequent punishment.
Ben Wyatt,I told you we'd feel better.
Ben Wyatt,Hey.
Ben Wyatt,It's 6:30 in the morning.
Ben Wyatt,Your hearing doesn't start for another two hours.
Leslie Knope,"Well, I wanted to get here early, you know, get a feel of the room."
Leslie Knope,So you got here at 3:00 A.M.
Leslie Knope,I couldn't sleep anyway.
Ben Wyatt,"Well, I wanted to sneak in before you got here an absurd pipe dream I now realize was impossible."
Leslie Knope,Is that a present for me?
Ben Wyatt,Yeah.
Ben Wyatt,What do you think?
Leslie Knope,Li'l Sebastian.
Ben Wyatt,"Yeah, I had him made for you at the toy store."
Leslie Knope,"Aw, thank you so much for making my life so wonderful."
Ben Wyatt,You're welcome.
Leslie Knope,I was talking to him.
Ben Wyatt,Of course.
Leslie Knope,But also to you.
Ben Wyatt,Thanks.
Leslie Knope,I wish we could go through this together.
Ben Wyatt,"Look, it's going to be okay."
Ben Wyatt,"You're just gonna get a slap on the wrist, maybe a brief suspension."
Leslie Knope,That's not okay.
Leslie Knope,That's gonna go on my permanent record.
Leslie Knope,I'm not the kind of person that has a permanent record.
Leslie Knope,"For me, a slap on the wrist is like a kick to the nuts."
Ben Wyatt,I know it is.
Leslie Knope,What's gonna happen to you?
Ben Wyatt,Don't worry about me.
Ben Wyatt,"Well, look, I'll be outside all day, right on the other side of that wall."
Ben Wyatt,"So, if you miss me, you just look at this Wrinkled, hideous monster and you'll know I'm sitting there rooting for you, okay?"
Leslie Knope,Okay.
Ben Wyatt,All right.
Leslie Knope,Go.
Ben Wyatt,Okay.
Leslie Knope,Marcus Everett Langley was Pawnee's greatest lawyer at the turn of the century.
Leslie Knope,"His nickname was ""Old Stone Face"" because of his steely demeanor and because he got in an accident at the rock quarry and dynamite blew up his face."
Chris Traeger,Leslie Knope!
Chris Traeger,Good morning!
Chris Traeger,It is snowing outside.
Chris Traeger,Isn't that great?
Leslie Knope,You seem like you're in a good mood.
Chris Traeger,"Actually, I'm quite miserable."
Chris Traeger,"I admire and respect you, and dragging you through an ethics trial is filling me with sadness."
Chris Traeger,I have never felt so low.
Leslie Knope,"Well, you're radiating pure joy."
Chris Traeger,I went to my herbalist and got two B12 shots.
Chris Traeger,"And then I ate an unreasonable amount of St. John's wort, and my herbalist took this weird bee pollen paste rubbed it around my gums."
Chris Traeger,And now my mouth feels like a spaceship.
Chris Traeger,This is stressful.
Chris Traeger,And stress leads to depression.
Chris Traeger,"And if I don't mantain an extremely high dosages of herbal remedies, I will get very depressed."
Chris Traeger,"Oh, God."
Chris Traeger,It's happening right now.
Extra,"We are here today to determine whether Leslie Knope violated any municipal rules or laws due to her romantic relationship with her superior Ben Wyatt, whose hearing will be held tomorrow."
Extra,Would you like to make a statement at this time?
Leslie Knope,Yes.
Leslie Knope,"I freely admit to the relationship, and I will not be fighting the charges that we violated Chris' rule."
Leslie Knope,But we did nothing else wrong or unethical.
Leslie Knope,"In 1849, Sarah Nelson Quindle exposed her elbow outdoors, which was a class ""A"" felony."
Leslie Knope,"Although she felt the law unjust, she acknowledged that she had broken it, and she nobly accepted her punishment to be set adrift on Lake Michigan like a human popsicle."
Leslie Knope,Look how calm she looks.
Leslie Knope,That's how I feel totally zen.
Chris Traeger,"Ms. Knope, on what day did your relationship with Ben Wyatt begin?"
Leslie Knope,"Last May, at your request, Ben and I drove to Indianapolis to bid for the state little league tournament."
Leslie Knope,The night we returned was the first time we kissed each other on each other's mouths.
Leslie Knope,It was excellent.
Leslie Knope,That was unnecessary to add.
Leslie Knope,I'm sorry.
Leslie Knope,I'm nervous.
Chris Traeger,Next question did you ever receive special treatment as a result of your relationship with Ben Wyatt?
Leslie Knope,I received adorable nicknames and amazing back rubs.
Leslie Knope,"Oh, you mean professionally."
Leslie Knope,No.
Chris Traeger,"And did you break any local, state, or federal law in an effort to cover up your relationship with Ben Wyatt?"
Leslie Knope,Absolutely not.
Chris Traeger,Thank you.
Chris Traeger,"Ms. Knope, that is all."
Extra,"Mr. Traeger, this says you're gonna be calling 14 witnesses."
Extra,Is that correct?
Chris Traeger,"Uh, yes, sir."
Leslie Knope,Why so many?
Leslie Knope,I've already admitted that I broke your rule.
Chris Traeger,"It's not my rule, Leslie."
Chris Traeger,It is an important rule that exists in every government.
Chris Traeger,"Romantic relationships between superiors and their employees lead to fraud, corruption, and misuse of public funds."
Leslie Knope,And you think I'm guilty of that?
Chris Traeger,I think that you began your relationship with Ben Wyatt earlier than you're saying.
Chris Traeger,"I believe that you certainly received special treatment, and I think that you may even be guilty of bribery."
Leslie Knope,None of those things are true.
Leslie Knope,"And I will prove it, Mr. Traeger."
Extra,"Okay, ten minute break please."
Andy Dwyer,"Here you go, boss."
Leslie Knope,"Okay, guys, we need to counter every charge that Chris has leveled against me."
Leslie Knope,"Andy, I need evidence."
Andy Dwyer,Got it!
Leslie Knope,Wait!
Leslie Knope,You don't know what evidence.
Andy Dwyer,"Ah, right on."
Andy Dwyer,Yes.
Andy Dwyer,Hit me.
Leslie Knope,Next to my desk is a picture of a female politician Bella Abzug.
Leslie Knope,Get the key that's taped to the back of that picture.
Leslie Knope,It opens up my bottom desk drawer in there are some files pay attention.
Leslie Knope,Where are you looking?
Leslie Knope,"Look here, focus here."
Leslie Knope,"Get the files in the drawer, and then get all the file boxes in the office."
Andy Dwyer,Put the files in the drawer.
Andy Dwyer,Let's go.
Leslie Knope,No.
April Ludgate,"Okay, I'll go with him."
Leslie Knope,Thank you.
Leslie Knope,"Ron, Chris has 14 witnesses."
Leslie Knope,I need you to talk to all the department heads and find out who's gonna testify.
Ron Swanson,I don't know the names of the other department heads.
Donna Meagle,I'll go with him.
Donna Meagle,Seriously?
Donna Meagle,With the men in this office?
Leslie Knope,Ann?
Ann Perkins,Yeah?
