Character,Line
Leslie Knope,Okay.
Leslie Knope,"So, the central question that these senators are going to be asking is why should we invest in the National Park Service?"
Leslie Knope,April.
April Ludgate,"Well, it is simple, Leslie."
April Ludgate,"In today's fast-paced society, National Parks are still the best place for full moon werewolf transformations."
Leslie Knope,"I know you're kidding, but I also know that you're prepared, and we are going to do great."
Leslie Knope,How psyched are you about this trip?
Leslie Knope,"April, are you super psyched?"
April Ludgate,Yeah.
April Ludgate,"Also, you have lipstick on your teeth."
Leslie Knope,I do?
Leslie Knope,Okay.
Leslie Knope,Good looking out.
Leslie Knope,We're a great team.
Ben Wyatt,"Well, I never thought I'd say this, but I think I know what's going on in your head."
April Ludgate,Oh!
April Ludgate,"Well, then, welcome to the Terrordome."
Ben Wyatt,Okay.
Ben Wyatt,You need to tell Leslie that you want to leave your job.
April Ludgate,No.
April Ludgate,She freaks out when anything changes.
April Ludgate,"One time, Andy told her that I was getting rid of my bangs and she called 911."
Ben Wyatt,Okay.
Ben Wyatt,"Well, I can't keep your secret much longer."
Ben Wyatt,"Any time your name comes up, I panic and change the subject to the Twin Peaks reboot until she gets bored."
April Ludgate,"So, you talk for one second?"
Ben Wyatt,You're going to spend the next couple of days with her.
Ben Wyatt,"If you talk to her directly and honestly, she can be surprisingly open minded."
April Ludgate,"Oh, really?"
April Ludgate,"Oh, okay."
Ben Wyatt,Yeah.
April Ludgate,Leslie?
April Ludgate,"Um, I was thinking about changing the font on the itineraries. What do you think?"
Leslie Knope,What?
Leslie Knope,Why?
Leslie Knope,On what grounds?
Leslie Knope,Those-- those fonts are perfect.
Leslie Knope,It's readable and compact.
Leslie Knope,It's all on one page.
Leslie Knope,That's insane.
Leslie Knope,Don't mess with that.
Leslie Knope,"I appreciate your initiative, but itineraries are not the right place to mess around."
Ben Wyatt,Yeah.
Ben Wyatt,"April, I told you that was an absurd idea."
April Ludgate,I don't care what Ben says.
April Ludgate,I'm not going to tell Leslie I'm leaving my job on this trip.
April Ludgate,She'll drown me in the Potomac while she recites facts about the Potomac.
Andy Dwyer,"Well, don't fret, cookie."
Andy Dwyer,"We've made progress, haven't we?"
Andy Dwyer,We've got a whole list of all the things you need out of a new job.
Andy Dwyer,"Apple juice, barbecue sauce, Count Chocula-- Wait."
Andy Dwyer,"Oh, sorry."
Andy Dwyer,That's the list of cool new nicknames I want people to call me.
Andy Dwyer,Here's your list.
April Ludgate,How can I tell her I'm leaving when I don't even know what job I want?
April Ludgate,Babe.
April Ludgate,I wish you were coming with me.
Andy Dwyer,I just decided what I'm going to do while April is out of town.
Andy Dwyer,I'm going to round up the team and find her a new job.
Andy Dwyer,Yeah.
Andy Dwyer,"Ben Wyatt, please?"
Andy Dwyer,Tell him it's Count Chocula.
Andy Dwyer,"No, it's Andrew Dwyer."
Andy Dwyer,I'm sorry.
Ron Swanson,"So, April wants to leave."
Ron Swanson,I always knew she would tire of government.
Ron Swanson,Took long enough.
Andy Dwyer,"Well, both me and Ben are trying to help April find a new job, and we thought maybe she could work for you."
Andy Dwyer,"I feel like it would be a perfect fit, although I don't know exactly what you guys do here."
Andy Dwyer,I'm guessing it's a business?
Andy Dwyer,Assassins?
Andy Dwyer,Hit men?
Andy Dwyer,Doctors.
Andy Dwyer,You guys are doctors?
Ron Swanson,We build things.
Ron Swanson,"Come on, let me show you around."
Ron Swanson,This is a door.
Ron Swanson,"These, of course, are walls."
Ron Swanson,What else?
Ron Swanson,What else?
Ron Swanson,Ah.
Ron Swanson,"Meet our vice president, Don Swanson."
Ron Swanson,"Don, this is Andrew and Benjamin."
Don Swanson,Pleasure to meet you.
Ben Wyatt,Is this your brother?
Ben Wyatt,You have a brother?
Ron Swanson,No.
Ron Swanson,Fine.
Ron Swanson,"Yes, suppose the cat's out of the bag."
Ron Swanson,I have a brother.
Ron Swanson,One brother.
Andy Dwyer,"All those years together at the Parks Department, and you never told us you had a brother."
Don Swanson,You worked at the Parks Department?
Ron Swanson,Tour is over.
Leslie Knope,Okay.
Leslie Knope,"Carryon bags packed, trashy magazines purchased, boarding passes in hand, and we have 26 minutes for unstructured chat time."
Leslie Knope,What do you want to talk about?
April Ludgate,I don't know.
April Ludgate,Nothing.
Leslie Knope,I thought maybe we could talk about your future.
Leslie Knope,You want to talk about your future?
April Ludgate,Yeah.
April Ludgate,I've actually been thinking about that a lot lately.
Leslie Knope,"Yeah, I figured."
Leslie Knope,It's hard at your age to figure out your path.
April Ludgate,I know.
Leslie Knope,Yeah.
Leslie Knope,"I was going to surprise you with this in Washington, but what the heck."
Leslie Knope,It's unstructured chat time.
Leslie Knope,So Tada!
Leslie Knope,"This is your clear, definitive path through the federal government."
Leslie Knope,It starts here today with this flight and it goes all the way to 2022.
Leslie Knope,"Cool, right?"
April Ludgate,Wow!
April Ludgate,This is intense.
Leslie Knope,"I had to make some guesses about your ultimate government objectives and your fashion choices, etcetera."
Leslie Knope,"But the point is, with this, you don't have to worry."
April Ludgate,I know.
April Ludgate,I feel so relaxed.
Leslie Knope,"Yeah, I know."
April Ludgate,What's up with these shirts?
Leslie Knope,Gov Buds for Life?
Leslie Knope,"Just a little fun I was having, you know?"
Leslie Knope,I didn't really make the shirts.
April Ludgate,"But did you, though?"
Leslie Knope,"Yes, I did."
Leslie Knope,Tada!
April Ludgate,"Oh, and also, I have a middle seat."
Leslie Knope,April!
Leslie Knope,Group One is boarding.
Andy Dwyer,Break it down.
Andy Dwyer,What will she be doing at this job?
Ron Swanson,"Well, she'd have about six people reporting to her."
Ron Swanson,"If she started soon, she could project manage our new warehouse in Snerling."
Ben Wyatt,"""Get to be my own boss."""
Ben Wyatt,"So far, so good."
Ben Wyatt,"She also wants ""passionate interest in subject matter."""
Ben Wyatt,"So, what kind of building is it?"
Ron Swanson,It's a largescale storage unit for surplus vinyl sheeting.
Ben Wyatt,"Okay, so, that's boring."
Andy Dwyer,"Would she have an opportunity to practice any ""creative problem solving""?"
Ron Swanson,Creativity is for people with glasses who like to lie.
Ron Swanson,"Although I suppose she could use ""creative"" ways to organize and stack the vinyl sheeting."
Ron Swanson,"No, that's insane."
Ron Swanson,We use the Towsend Method.
Ron Swanson,It's tried and true.
Ben Wyatt,I think this might be a dead end.
Ron Swanson,I think you might be right.
Ron Swanson,But getting a good person out of government is a worthwhile endeavor.
Ron Swanson,I will help.
Ron Swanson,"But first, I'm going to need some grub."
Andy Dwyer,Ooh!
Andy Dwyer,Yeah.
