Character,Line
Leslie Knope,"Oh, goody, you're all here."
Leslie Knope,"Now, I know I'm not supposed to talk about my campaign in the office, but last night I've made a decision about who should be my campaign manager."
Leslie Knope,This is a huge job.
Leslie Knope,"This is going to require a lot of late night, oneonone jam sessions with me, and we're going to bounce ideas off of each other, you're going to have to take calls for me, any time, day or night."
Leslie Knope,"The person I have chosen is, drum roll please, Ann Perkins!"
Leslie Knope,Yay!
Leslie Knope,Give it up for Ann!
Ron Swanson,Good choice.
Ann Perkins,"Leslie, I don't know the first thing about running a political campaign."
Leslie Knope,"Ann, you beautiful tropical fish."
Leslie Knope,You're smart as a whip and you're cool under pressure.
Leslie Knope,You've resuscitated a human heart in your bare hands.
Ann Perkins,"No, I haven't."
Leslie Knope,You haven't?
Ann Perkins,No!
Leslie Knope,You will.
Leslie Knope,You're that good of a nurse.
Ann Perkins,What about Ben?
Ann Perkins,"I mean, he ran for mayor at 18 and won."
Leslie Knope,Ben is poison in my campaign.
Leslie Knope,Our relationship is the reason why my advisors pulled out.
Leslie Knope,"I Ann, don't listen to your head or your heart."
Leslie Knope,"Just look at my eyes and say ""yes."""
Ann Perkins,"Okay, yes."
Leslie Knope,Yes!
Leslie Knope,"I believe in you, Ann."
Ann Perkins,Thank you.
Leslie Knope,And your first job as my campaign manager is to start dressing like one.
Leslie Knope,I don't want to have this conversation again.
Ann Perkins,Again?
Ann Perkins,You just hired me eight seconds ago.
April Ludgate,Wow.
April Ludgate,You're doing a really bad job.
Leslie Knope,"William, Elizabeth."
William Barnes,"Leslie, hi."
Leslie Knope,Hi.
Leslie Knope,What are you Are you coming to see me?
Leslie Knope,Did you hear that I'm relaunching my campaign?
William Barnes,"Actually, no, sorry."
William Barnes,We weren't here to see you.
William Barnes,We've been meeting with other potential candidates for city council.
Leslie Knope,"Oh, really?"
Leslie Knope,"So, my campaign ends and, just like that, you find someone else and run theirs?"
Elizabeth Barnes,"Yes, that's our job."
Leslie Knope,I know.
Leslie Knope,"Good luck, but, uh, I just had a big meeting with my new advisory board, and they're brilliant and amazing."
Leslie Knope,They're real killers.
Andy Dwyer,"Leslie, I tried to make ramen in the coffee pot and I broke everything."
Leslie Knope,"Thank you, Andy."
Leslie Knope,I'll be right in.
William Barnes,"Well, uh, good luck, Leslie."
William Barnes,Honestly.
Leslie Knope,"Well, we don't need luck."
Leslie Knope,We are a rocket ship.
Leslie Knope,"We are relaunching, and we're going to blast past your cann Huh, they're gone."
Leslie Knope,"It's true I no longer have highly trained, professional campaign managers."
Leslie Knope,So what?
Leslie Knope,"Are most murders committed by highly trained, professional assassins?"
Leslie Knope,No.
Leslie Knope,They're committed by friends and coworkers.
Leslie Knope,That analogy was way better in my head.
Ben Wyatt,Hi.
April Ludgate,Champion?
Andy Dwyer,"Oh my gosh, there you are, puppy."
Andy Dwyer,That's a good boy.
Ben Wyatt,That is a three legged dog.
Andy Dwyer,"His name is Champion, because he's the dog world champion."
Ben Wyatt,"Okay, I have to ask this, I'm sorry, but how many legs did that dog have when you found him?"
Andy Dwyer,Three!
Andy Dwyer,That's what makes him the best.
Andy Dwyer,He can do more with three legs than most dogs can do with four.
April Ludgate,Except for digging.
April Ludgate,He's really bad at digging.
Andy Dwyer,And you remember what you said about making decisions in the house?
Andy Dwyer,You want to be involved.
Andy Dwyer,"We get that, so You just say the word, and Champion goes back to the pound, where he can be put down and killed forever."
Ben Wyatt,I'm not gonna send a three legged dog to his death.
Andy Dwyer,Yes!
Ben Wyatt,But I'm not gonna take care of him for you.
April Ludgate,"Well, it would be nice if you helped a little."
April Ludgate,"Because, unlike you, Andy and I have jobs."
Ben Wyatt,"Cruel, but fair."
Ann Perkins,So Leslie and I have come up with the theme for the campaign relaunch rally.
Leslie Knope,"""The Comeback Kid."""
Ann Perkins,Everyone loves a good comeback story.
Ann Perkins,Rocky.
Leslie Knope,"Robert Downey, Jr."
Andy Dwyer,"Terminator said, ""I'll be back,"" and he was."
Tom Haverford,Also making a comeback the casual Hawaiian shirt.
Jerry Gergich,"Well, well, well, look, who's ahead of the curve."
Tom Haverford,I was joking.
Tom Haverford,You should soak that in bleach and burn it.
Ann Perkins,"Okay, so, the rally's going to be held tomorrow at the Pawnee Sports Building."
Ann Perkins,"April, you finalized a rental, right?"
April Ludgate,"Shut up, Ann."
April Ludgate,I told you never to talk to me.
April Ludgate,That was Champion.
April Ludgate,"Oh, my God, I'm sorry."
April Ludgate,Bad dog!
April Ludgate,"Yes, everything's fine with the rental."
Leslie Knope,"Ron, you're constructing the stage?"
Ron Swanson,"Yes, ma'am."
Ron Swanson,Leslie wanted to hire a contractor to build a stage.
Ron Swanson,"I don't want to paint with a broad brush here, but every single contractor in the world is a miserable, incompetent thief."
Ben Wyatt,"Seal the edges by crimping the fork aw, crap."
Chris Traeger,Ben
Ben Wyatt,"What's up, Chris?"
Ben Wyatt,"Come on in, man."
Chris Traeger,I already did.
Chris Traeger,"So, uh, how you been?"
Chris Traeger,How are you doing?
Chris Traeger,How are you?
Ben Wyatt,"Great, actually."
Ben Wyatt,"I'm just learning how to make a ""calizoinza."""
Ben Wyatt,"Or, as you Americans like to say, calzones."
Ben Wyatt,Do you want one?
Chris Traeger,"No, I find calzone fatty, and unnecessary."
Chris Traeger,"So, you've hit a bit of a rough patch, and I care about you, so I just want to make sure you're doing okay."
Ben Wyatt,"Chris, honestly, I'm great."
Ben Wyatt,I'm just exploring whatever fun activity pops into my brain.
Ben Wyatt,"Like, check this out."
Ben Wyatt,I'm teaching myself how to do Claymation videos.
Ben Wyatt,Isn't this just so cool?
Chris Traeger,It is so cool!
Chris Traeger,"Ben is massively depressed, and he needs my help."
Leslie Knope,You look like a real campaign manager.
Ann Perkins,"Oh, thanks, that's because I googled ""campaign manager"" and noticed that they wear a lot of dark colors."
Leslie Knope,"See, there's more things to look at on the Internet besides naked guys, Ann."
Ann Perkins,What?
Leslie Knope,"I need a team update, campaign manager."
Ann Perkins,Okay.
Ann Perkins,Pistol Pete Disellio will be here in five minutes.
Leslie Knope,I still can't believe that you got him.
Leslie Knope,Ann got local hero Pistol Pete Disellio to endorse me at the rally.
Leslie Knope,"In 1992, Pistol Pete's last second dunk against Eagleton High clinched a comeback victory for the Pawnee Central drunken savages."
Leslie Knope,Team mascot later changed.
Tom Haverford,"Akash, buddy, of course I came to you first."
Tom Haverford,You're the best carpet man in Pawnee.
Tom Haverford,But here's my question Do your carpets match your drapes?
Tom Haverford,How do you make any event classy on a budget?
Tom Haverford,Red carpet.
Tom Haverford,My entire apartment is red carpet.
Tom Haverford,"On top of that, leading into my bedroom, a second red carpet."
Tom Haverford,"Oh, what's this in my shoe?"
Tom Haverford,Red carpet insole.
Tom Haverford,"Everywhere I go, I'm walking on red carpet."
Tom Haverford,Is there even enough room for everyone?
April Ludgate,"Here, sit on my lap."
Tom Haverford,"No, that's humiliating."
Tom Haverford,Can't I at least sit on Andy's lap?
Andy Dwyer,"No, that's Champion's spot."
Andy Dwyer,He called it.
Ron Swanson,"Tom, we're already late."
Ron Swanson,"Now, be a man, and sit on that girl's lap."
Tom Haverford,"Yes, sir."
Pete Disellio,"Hi, Pete Disellio."
Leslie Knope,"We can call you Pistol, right?"
Pete Disellio,I prefer Pete.
Leslie Knope,Oh.
Leslie Knope,"Okay, got it."
Leslie Knope,I'm Leslie Knope.
Leslie Knope,We overlapped a year at Pawnee Central.
Leslie Knope,You probably remember my voice from the morning announcements.
Leslie Knope,"This is my campaign manager, Ann Perkins."
Ann Perkins,"Hi, nice to meet you."
Ann Perkins,Come on in.
Pete Disellio,"Oh, thanks."
Pete Disellio,I'm excited to be here.
Leslie Knope,Ah!
Leslie Knope,We're excited to have you.
Leslie Knope,Ann is killing it.
Leslie Knope,My campaign team is unstoppable.
Leslie Knope,This rally is going to be awesome.
Leslie Knope,"Oh, my God, I'm feeling it!"
Leslie Knope,I'm gonna break dance!
Ann Perkins,Leslie?
Leslie Knope,Coming!
Leslie Knope,Thank God.
Andy Dwyer,"Oh, Champion is a way better kisser than you are, babe."
April Ludgate,Nuhuh!
Andy Dwyer,"Yes, he is."
Andy Dwyer,He's even a better kisser than me.
Andy Dwyer,"Here, try some."
Tom Haverford,"Okay, stop it."
Tom Haverford,He's drooling on me!
Andy Dwyer,Oh!
Ron Swanson,This is unsafe.
Andy Dwyer,Ha ha!
Andy Dwyer,"Oh, we should do it for the kids."
Andy Dwyer,"Kids love it, Ron."
Andy Dwyer,Just for the kids.
